"","origincityLabel","origincountry","originlat","originlong","originpopulation","sistercityLabel","destinationlat","destinationlong","destinationpopulation","destination_countryLabel","dist","eu","samecountry","typecountry"
"1543","Guingamp","France",48.5625,-3.1511111111111,7106,"Urbino",43.725238888889,12.6372,NA,"Italy",1327,"EU","different","EU"
"1544","Saint-Jean-de-la-Ruelle","France",47.913055555556,1.8733333333333,16488,"Niepołomice",50.033888888889,20.217222222222,NA,"Poland",1356,"EU","different","EU"
"1545","Noidans-lès-Vesoul","France",47.614444444444,6.1255555555556,2025,"Gmina Lwówek Śląski",51.116666666667,15.583333333333,NA,"Poland",787,"EU","different","EU"
"1546","Rouen","France",49.443055555556,1.1025,110755,"Salerno",40.680555555556,14.759722222222,135066,"Italy",1445,"EU","different","EU"
"1547","Épinay-sur-Seine","France",48.954722222222,2.3083333333333,54857,"Busto Arsizio",45.611958333333,8.8518,83314,"Italy",617,"EU","different","EU"
"1548","Morlaix","France",48.5775,-3.8277777777778,15264,"Chełm",51.133333333333,23.483333333333,NA,"Poland",1967,"EU","different","EU"
"1549","Auxerre","France",47.7975,3.5669444444444,34869,"Płock",52.55,19.7,NA,"Poland",1261,"EU","different","EU"
"1550","Niort","France",46.325,-0.46222222222222,57393,"Biała Podlaska",52.033333333333,23.116666666667,57498,"Poland",1818,"EU","different","EU"
"1551","Fontenay-le-Comte","France",46.466944444444,-0.80638888888889,13647,"Gmina Krotoszyn",51.683333333333,17.433333333333,NA,"Poland",1445,"EU","different","EU"
"1552","Sin-le-Noble","France",50.363055555556,3.1130555555556,15825,"Święta Katarzyna, Lower Silesian Voivodeship",51.03333,17.11667,NA,"Poland",988,"EU","different","EU"
"1553","Méru","France",49.235833333333,2.135,13995,"Izabelin, Warsaw West County",52.3,20.81666667,NA,"Poland",1353,"EU","different","EU"
"1554","Avignon","France",43.948611111111,4.8083333333333,90305,"Siena",43.318333333333,11.331388888889,53853,"Italy",529,"EU","different","EU"
"1555","Chambéry","France",45.566388888889,5.9208333333333,58653,"Turin",45.066666666667,7.7,889600,"Italy",150,"EU","different","EU"
"1556","Bruz","France",48.024722222222,-1.7458333333333,16855,"Gmina Września",52.333333333333,17.583333333333,NA,"Poland",1452,"EU","different","EU"
"1557","Douai","France",50.370833333333,3.0791666666667,41189,"Puławy",51.416666666667,21.966666666667,NA,"Poland",1326,"EU","different","EU"
"1558","Aubergenville","France",48.958333333333,1.855,11576,"Bełchatów",51.366666666667,19.366666666667,59025,"Poland",1272,"EU","different","EU"
"1559","La Valette-du-Var","France",43.137222222222,5.9825,21463,"Liévin",50.421944444444,2.7777777777778,31517,"France",846,"EU","same","same"
"1560","Bordeaux","France",44.837777777778,-0.57944444444444,243626,"Porto",41.15,-8.6,237591,"Portugal",770,"EU","different","EU"
"1561","Reichstett","France",48.645833333333,7.7522222222222,4407,"Gouesnou",48.453611111111,-4.4644444444444,5845,"France",898,"EU","same","same"
"1562","Tonneins","France",44.389722222222,0.30833333333333,8914,"Thann",47.806666666667,7.1044444444444,7933,"France",647,"EU","same","same"
"1563","Saint-Pierre","France",46.818888888889,-56.343888888889,5443,"Port-en-Bessin-Huppain",49.344166666667,-0.75527777777778,1995,"France",4035,"EU","same","same"
"1564","Port-en-Bessin-Huppain","France",49.344166666667,-0.75527777777778,1995,"Saint-Pierre",46.818888888889,-56.343888888889,5443,"France",4035,"EU","same","same"
"1565","Orléans","France",47.902222222222,1.9041666666667,114977,"Saint-Flour",45.033611111111,3.0927777777778,6626,"France",332,"EU","same","same"
"1566","Neuweg","France",47.6128,7.537,NA,"Pimbo",43.575833333333,-0.37777777777778,202,"France",761,"EU","same","same"
"1567","Perros-Guirec","France",48.813333333333,-3.4433333333333,7312,"Quintin",48.403611111111,-2.9094444444444,2822,"France",60,"EU","same","same"
"1568","Dumbéa","France",-22.15,166.45,31812,"Bessières",43.800555555556,1.6058333333333,3625,"France",17233,"EU","same","same"
"1569","Montbellet","France",46.475277777778,4.8719444444444,806,"Saint-Oyen",45.503611111111,6.4841666666667,213,"France",165,"EU","same","same"
"1570","Château-Chinon (Ville)","France",47.064444444444,3.9322222222222,2086,"Villeréal",44.636666666667,0.74305555555556,1282,"France",366,"EU","same","same"
"1571","Orly","France",48.743611111111,2.3927777777778,22377,"Pointe-à-Pitre",16.241111111111,-61.533055555556,15826,"France",6755,"EU","same","same"
"1572","Marlenheim","France",48.622777777778,7.4930555555556,4005,"Bouillante",16.1325,-61.769722222222,7446,"France",7152,"EU","same","same"
"1573","Fréjus","France",43.433055555556,6.7355555555556,53039,"Bazeilles",49.677222222222,4.9763888888889,2041,"France",707,"EU","same","same"
"1574","Longjumeau","France",48.696944444444,2.2955555555556,21657,"Condeixa-a-Nova Municipality",40.116666666667,-8.5,NA,"Portugal",1280,"EU","different","EU"
"1575","Chaumont","France",48.110833333333,5.1386111111111,22560,"Baillif",16.021111111111,-61.746666666667,5479,"France",6981,"EU","same","same"
"1576","Chartres","France",48.446666666667,1.4883333333333,38840,"Chartres-de-Bretagne",48.039444444444,-1.7038888888889,7395,"France",241,"EU","same","same"
"1577","Mantilly","France",48.520833333333,-0.80111111111111,555,"Miuzela",40.510555555556,-7.005,432,"Portugal",1017,"EU","different","EU"
"1578","Vierzon","France",47.221944444444,2.0683333333333,27113,"Ronvaux",49.129722222222,5.5544444444444,95,"France",334,"EU","same","same"
"1579","Neuf-Brisach","France",48.018055555556,7.5283333333333,1973,"Meilhan-sur-Garonne",44.521388888889,0.033611111111111,1347,"France",694,"EU","same","same"
"1580","Schœlcher","France",14.616111111111,-61.101388888889,19922,"Houilles",48.925555555556,2.1883333333333,32287,"France",6847,"EU","same","same"
"1581","Avranches","France",48.684444444444,-1.3569444444444,7890,"Saint-Gaudens",43.108055555556,0.72333333333333,11241,"France",641,"EU","same","same"
"1582","Manzat","France",45.961666666667,2.9413888888889,1346,"Saint-Crespin-sur-Moine",47.098888888889,-1.1861111111111,1588,"France",340,"EU","same","same"
"1583","Pointe-à-Pitre","France",16.241111111111,-61.533055555556,15826,"Orly",48.743611111111,2.3927777777778,22377,"France",6755,"EU","same","same"
"1584","Eguisheim","France",48.043055555556,7.3058333333333,1743,"Aubusson",45.956111111111,2.1675,3679,"France",453,"EU","same","same"
"1585","Dumbéa","France",-22.15,166.45,31812,"Punaauia",-17.600555555556,-149.60944444444,27613,"France",4607,"EU","same","same"
"1586","Saint-Martin-de-Fontenay","France",49.119166666667,-0.37111111111111,2575,"Biganos",44.644166666667,-0.97833333333333,9950,"France",500,"EU","same","same"
"1587","Aix-en-Provence","France",43.527777777778,5.4455555555556,141545,"Coimbra",40.201272222222,-8.4077388888889,143396,"Portugal",1204,"EU","different","EU"
"1588","Charleville-Mézières","France",49.76,4.7194444444444,48991,"Nevers",46.9925,3.1566666666667,34841,"France",329,"EU","same","same"
"1589","Thomery","France",48.408333333333,2.7861111111111,3468,"Moissac",44.104722222222,1.0852777777778,12564,"France",496,"EU","same","same"
"1590","Contrexéville","France",48.184444444444,5.8955555555556,3336,"Seia Municipality",40.416666666667,-7.7,NA,"Portugal",1381,"EU","different","EU"
"1591","Villeréal","France",44.636666666667,0.74305555555556,1282,"Château-Chinon (Ville)",47.064444444444,3.9322222222222,2086,"France",366,"EU","same","same"
"1592","Aubusson","France",45.956111111111,2.1675,3679,"Eguisheim",48.043055555556,7.3058333333333,1743,"France",453,"EU","same","same"
"1593","Sainte-Marie","France",14.781388888889,-60.993611111111,17188,"Saintes-Maries-de-la-Mer",43.451666666667,4.4280555555556,2593,"France",6909,"EU","same","same"
"1594","Ronvaux","France",49.129722222222,5.5544444444444,95,"Vierzon",47.221944444444,2.0683333333333,27113,"France",334,"EU","same","same"
"1595","Dumbéa","France",-22.15,166.45,31812,"Fréjus",43.433055555556,6.7355555555556,53039,"France",16999,"EU","same","same"
"1596","Pimbo","France",43.575833333333,-0.37777777777778,202,"Neuweg",47.6128,7.537,NA,"France",761,"EU","same","same"
"1597","Saint-Oyen","France",45.503611111111,6.4841666666667,213,"Montbellet",46.475277777778,4.8719444444444,806,"France",165,"EU","same","same"
"1598","Barr","France",48.408055555556,7.4497222222222,7137,"Perros-Guirec",48.813333333333,-3.4433333333333,7312,"France",801,"EU","same","same"
"1599","Saint-Gaudens","France",43.108055555556,0.72333333333333,11241,"Avranches",48.684444444444,-1.3569444444444,7890,"France",641,"EU","same","same"
"1600","Saint-Crespin-sur-Moine","France",47.098888888889,-1.1861111111111,1588,"Manzat",45.961666666667,2.9413888888889,1346,"France",340,"EU","same","same"
"1601","Portel-des-Corbières","France",43.054444444444,2.9219444444444,1267,"Le Portel",50.706666666667,1.5733333333333,9632,"France",857,"EU","same","same"
"1602","Quiberon","France",47.483333333333,-3.1205555555556,4987,"Le Grand-Bornand",45.941944444444,6.4252777777778,2195,"France",747,"EU","same","same"
"1603","Baillif","France",16.021111111111,-61.746666666667,5479,"Chaumont",48.110833333333,5.1386111111111,22560,"France",6981,"EU","same","same"
"1604","Ennery","France",49.226111111111,6.2166666666667,1938,"Janaillat",46.056666666667,1.7455555555556,343,"France",486,"EU","same","same"
"1605","Dietwiller","France",47.691388888889,7.4013888888889,1423,"Allemans-du-Dropt",44.626944444444,0.28944444444444,502,"France",645,"EU","same","same"
"1606","Liévin","France",50.421944444444,2.7777777777778,31517,"La Valette-du-Var",43.137222222222,5.9825,21463,"France",846,"EU","same","same"
"1607","Saint-Loubès","France",44.917222222222,-0.42805555555556,8467,"Figeac",44.608611111111,2.0316666666667,9826,"France",197,"EU","same","same"
"1608","Wittelsheim","France",47.805277777778,7.2375,10562,"Vierzon",47.221944444444,2.0683333333333,27113,"France",394,"EU","same","same"
"1609","Biganos","France",44.644166666667,-0.97833333333333,9950,"Saint-Martin-de-Fontenay",49.119166666667,-0.37111111111111,2575,"France",500,"EU","same","same"
"1610","Saint-Louis","France",47.585277777778,7.565,19907,"Lectoure",43.934444444444,0.62111111111111,3730,"France",674,"EU","same","same"
"1611","La Flèche","France",47.699722222222,-0.076111111111111,14992,"Thury-Harcourt",48.983888888889,-0.47416666666667,2022,"France",146,"EU","same","same"
"1612","La Clusaz","France",45.904166666667,6.4230555555556,1792,"Nœux-les-Mines",50.479722222222,2.6647222222222,12424,"France",580,"EU","same","same"
"1613","Meilhan-sur-Garonne","France",44.521388888889,0.033611111111111,1347,"Neuf-Brisach",48.018055555556,7.5283333333333,1973,"France",694,"EU","same","same"
"1614","Le Portel","France",50.706666666667,1.5733333333333,9632,"Portel-des-Corbières",43.054444444444,2.9219444444444,1267,"France",857,"EU","same","same"
"1615","Marly-le-Roi","France",48.866944444444,2.0941666666667,16485,"Viseu",40.666666666667,-7.9166666666667,NA,"Portugal",1205,"EU","different","EU"
"1616","Saint-Laurent-du-Var","France",43.673333333333,7.19,28891,"Saint-Laurent-du-Maroni",5.5038888888889,-54.028888888889,41515,"France",7296,"EU","same","same"
"1617","Port-en-Bessin-Huppain","France",49.344166666667,-0.75527777777778,1995,"Saint-Pierre",46.777777777778,-56.177777777778,5443,"France",4035,"EU","same","same"
"1618","Hautvillers","France",49.084166666667,3.9436111111111,765,"Eguisheim",48.043055555556,7.3058333333333,1743,"France",273,"EU","same","same"
"1619","Leers","France",50.681666666667,3.2438888888889,9456,"Coquelles",50.935,1.7991666666667,2386,"France",105,"EU","same","same"
