year,state,population
1970,South Carolina,2590516
1970,South Dakota,665507
1970,Tennessee,3923687
1970,Texas,11196730
1970,Utah,1059273
1970,Vermont,444330
1970,Virginia,4648494
1970,Washington,3409169
1970,West Virginia,1744237
1970,Wisconsin,4417731
1970,Wyoming,332416
1980,Alabama,3893888
1980,Alaska,401851
1980,Arizona,2718215
1980,Arkansas,2286435
1980,California,23667902
1980,Colorado,2889964
1980,Connecticut,3107576
1980,Delaware,594338
1980,District Of Columbia,638333
1980,Florida,9746324
1980,Georgia,5463105
1980,Hawaii,964691
1980,Idaho,943935
1980,Illinois,11426518
1980,Indiana,5490224
1980,Iowa,2913808
1980,Kansas,2363679
1980,Kentucky,3660777
1980,Louisiana,4205900
1980,Maine,1124660
1980,Maryland,4216975
1980,Massachusetts,5737037
1980,Michigan,9262078
1980,Minnesota,4075970
1980,Mississippi,2520638
1980,Missouri,4916686
1980,Montana,786690
1980,Nebraska,1569825
1980,Nevada,800493
1980,New Hampshire,920610
1980,New Jersey,7364823
1980,New Mexico,1302894
1980,New York,17558072
1980,North Carolina,5881766
1980,North Dakota,652717
1980,Ohio,10797630
1980,Oklahoma,3025290
1980,Oregon,2633105
1980,Pennsylvania,11863895
1980,Rhode Island,947154
1980,South Carolina,3121820
1980,South Dakota,690768
1980,Tennessee,4591120
1980,Texas,14229191
1980,Utah,1461037
1980,Vermont,511456
1980,Virginia,5346818
1980,Washington,4132156
1980,West Virginia,1949644
1980,Wisconsin,4705767
1980,Wyoming,469557
1990,Alabama,4040587
1990,Alaska,550043
1990,Arizona,3665228
1990,Arkansas,2350725
1990,California,29760021
1990,Colorado,3294394
1990,Connecticut,3287116
1990,Delaware,666168
1990,District Of Columbia,606900
1990,Florida,12937926
1990,Georgia,6478216
1990,Hawaii,1108229
1990,Idaho,1006749
1990,Illinois,11430602
1990,Indiana,5544159
1990,Iowa,2776755
1990,Kansas,2477574
1990,Kentucky,3685296
1990,Louisiana,4219973
1990,Maine,1227928
1990,Maryland,4781468
1990,Massachusetts,6016425
1990,Michigan,9295297
1990,Minnesota,4375099
1990,Mississippi,2573216
1990,Missouri,5117073
1990,Montana,799065
1990,Nebraska,1578385
1990,Nevada,1201833
1990,New Hampshire,1109252
1990,New Jersey,7730188
1990,New Mexico,1515069
1990,New York,17990455
1990,North Carolina,6628637
1990,North Dakota,638800
1990,Ohio,10847115
1990,Oklahoma,3145585
1990,Oregon,2842321
1990,Pennsylvania,11881643
1990,Rhode Island,1003464
1990,South Carolina,3486703
1990,South Dakota,696004
1990,Tennessee,4877185
1990,Texas,16986510
1990,Utah,1722850
1990,Vermont,562758
1990,Virginia,6187358
1990,Washington,4866692
1990,West Virginia,1793477
1990,Wisconsin,4891769
1990,Wyoming,453588
2000,Alabama,4447100
2000,Alaska,626932
2000,Arizona,5130632
2000,Arkansas,2673400
2000,California,33871648
2000,Colorado,4301261
2000,Connecticut,3405565
2000,Delaware,783600
2000,District Of Columbia,572059
2000,Florida,15982378
2000,Georgia,8186453
2000,Hawaii,1211537
2000,Idaho,1293953
2000,Illinois,12419293
2000,Indiana,6080485
2000,Iowa,2926324
2000,Kansas,2688418
2000,Kentucky,4041769
2000,Louisiana,4468976
2000,Maine,1274923
2000,Maryland,5296486
2000,Massachusetts,6349097
2000,Michigan,9938444
2000,Minnesota,4919479
2000,Mississippi,2844658
2000,Missouri,5595211
2000,Montana,902195
2000,Nebraska,1711263
2000,Nevada,1998257
2000,New Hampshire,1235786
2000,New Jersey,8414350
2000,New Mexico,1819046
2000,New York,18976457
2000,North Carolina,8049313
2000,North Dakota,642200
2000,Ohio,11353140
2000,Oklahoma,3450654
2000,Oregon,3421399
2000,Pennsylvania,12281054
2000,Rhode Island,1048319
2000,South Carolina,4012012
2000,South Dakota,754844
2000,Tennessee,5689283
2000,Texas,20851820
2000,Utah,2233169
2000,Vermont,608827
2000,Virginia,7078515
2000,Washington,5894121
2000,West Virginia,1808344
2000,Wisconsin,5363675
2000,Wyoming,493782
2010,Alabama,4779736
2010,Alaska,710231
2010,Arizona,6392017
2010,Arkansas,2915918
2010,California,37253956
2010,Colorado,5029196
2010,Connecticut,3574097
2010,Delaware,897934
2010,District Of Columbia,601723
2010,Florida,18801310
2010,Georgia,9687653
2010,Hawaii,1360301
