companyId:ID(Company),name
342,GEORGIAN BAY FRUIT GROWERS
343,CHRISTIE BROWN AND COMPANY
344,CANADIAN STEEL FOUNDRIES
345,BRANDON BOARD OF TRADE
346,FLAVELLES
347,CANADA SAND LIME PRESSED BRICK
348,RIVERSIDE LUMBER
349,A JOHNSTONE AND COMPANY
350,JAMES SMART MANUFACTURING
351,CANADIAN BILLINGS AND SPENCER
352,ST LAWRENCE ENGINE
353,LONDON LOAN AND SAVINGS COMPANY OF CANADA
354,RICHELIEU AND ONTARIO NAVIGATION
355,STANDARD DRAIN PIPE COMPANY OF ST JOHNS
356,ST LAWRENCE FLOUR MILLS
357,STERLING BANK OF CANADA
358,CANADA GRAIN EXCHANGE
359,MOLSONS BANK
360,MCCORMACK IRVIN
361,LITSTER PURE FOOD
362,QUEBEC AND SAGUENAY RAILWAY
363,EAST CANADA POWER AND PULP
364,DOOLITTLE RIM
365,CITY CENTRAL REAL ESTATE
366,CANADIAN MANUFACTURER PUBLISHING
367,UNION LUMBER
368,BANQUE INTERNATIONALE DU CANADA
369,TORONTO BOARD OF TRADE
370,CONGER COAL
371,DIAMOND COAL
372,FIDELITY TRUST COMPANY OF ONTARIO
373,DOMINION SAVINGS AND INVESTMENT SOCIETY
374,LONDON AND LAKE ERIE RAILWAY AND TRANSPORTATION
375,BURROW STEWART AND MILNE
376,D W THOMPSON
377,LONDON ADVERTISER
378,LEAMINGTON POST PRINTING
379,NORFOLK COUNTY TELEPHONE
380,DOMINION TELEPHONE MANUFACTURING
381,ST SIMEON LUMBER
382,SL HYACINTHE DISTTLLERY
383,WM A MARSH
384,LA COMPAGNIE DE BRIQUES DE QUEBEC
385,EASTERN CONSTRUCTION
386,MAPLE LEAF MILLING
387,GUARDIAN TRUST
388,FEDERAL LIFE ASSURANCE COMPANY OF CANADA
389,NATIONAL IRON WORKS
390,GUNN LANGLOIS AND COMPANY
391,GUNNS
392,GEO HODGE AND SONS
393,DOMINION FURNITURE MANUFACTURING
394,UNION MANK OF CANADA
395,CHEMICAL LABORATORIES
396,GODERICH BOARD OF TRADE
397,GODERICH ORGAN
398,MAGANN AIR BRAKE
399,LONDON AND CANADIAN LOAN AND AGENCY
400,CANADIAN BIRKBECK INVESTMENT AND SAVINGS
401,CANADIAN NORTHERN PRAIRIE LANDS
402,WESTERN SALT
403,BRAZIL RAILWAY
404,ST JOHN RAILWAY
405,STANDARD LOAN
406,EQUITABLE LIFE ASSURANCE SOCIETY OF THE UNITED STATES
407,CANADIAN SALT
408,TORONTO FERRY
409,GUATEMALA RAILWAY
410,CUBA
411,CUBA RAILROAD
412,SMART TURNER MACHINE
413,HAMILTON MOTOR WORKS
414,HAMILTON PROVIDENT AND LOAN SOCIETY
415,GRANT'S SPRING BREWERY
416,OXFORD FURNITURE
417,OXFORD MANUFACTURING
418,BURTON AND BALDWIN MANUFACTURING
419,L T MEWBURN AND COMPANY
420,COCHRANE BOARD OF TRADE
421,GEO TAYLOR HARDWARE
422,TEMISKAMING TELEPHONE
423,WABI IRON WORKS
424,BLENHEIM AND SOUTH KENT TELEPHONE
425,ATLANTIC MUTUAL FIRE ASSURANCE ASSOCIATION
426,ENTERPRISE FOUNDRY
427,EMERSON AND FISHER
428,EVANS
429,EMPIRE COAL AND LUMBER
430,SUDBURY BRICK
431,QUEEN'S HOTEL
432,BANQUE D'HOCHELAGA
433,LA CORONA HOTEL
434,MARITIME FISH CORPORATION
435,LAMONTAGNE
436,MELDRUM BROTHERS
437,ST LAWRENCE WAGGON
438,BARRIE TANNING
439,BETHESDA AND STOUFFVILLE TELEPHONE
440,CANADIAN NORTHERN RAILWAY
441,NIAGARA ST CATHARINES AND TORONTO RAILWAY
442,IMPERIAL ROLLING STOCK
443,NIAGARA ST CATHARINES AND TORONTO NAVIGATION
444,TORONTO AND HAMILTON RAILWAY
445,LEVY BROTHERS
446,BRITISH COLONIAL LAND AND SECURITY
447,TRINITY UNIVERSITY
448,ANNUAL REVIEW PUBLISHING
449,GRACE HOSPITAL
450,CANADIAN LAKE AND OCEAN NAVIGATION
451,TWIN CITY RAPID TRANSIT
452,BRITISH CANADIAN LOAN AND INVESTMENT
453,INTERNATIONAL MAUSOLEUM
454,COBALT LAKE MINING
455,PRUDENTIAL TRUST
456,ROMAN STONE
457,STEEL AND RADIATION
458,SUN BRICK
459,HOME BANK OF CANADA
460,BANK OF HAMILTON
461,HAMILTON GAS LIGHT
462,HENDRIE AND COMPANY
463,CHINOOK COAL
464,VICTORIA ROLLING STOCK AND REALTY COMPANY OF ONTARIO
465,HAMILTON BRIDGE WORKS
466,HAMILTON BOARD OF TRADE
467,AMERICAN OIL
468,NIAGARA NAVIGATION
469,CONSUMERS GAS OF TORONTO
470,OSLER AND HAMMOND
471,REGINA FOUNDRY
472,DOMINION BANK
473,TORONTO MORTGAGE
474,WAR EAGLE CONSOLIDATED MINING AND DEVELOPMENT
475,TORONTO GENERAL TRUST CORPORATION
476,ST LAWRENCE AND CHICAGO STEAM NAVIGATION
477,STANDARD BANK OF CANADA
478,CONFEDERATION LIFE ASSOCIATION
479,NORTH OF SCOTLAND CANADIAN MORTGAGE
