O_selo_da_roda	36	PedIvo	36	100.00
Loucura...	35	MarScar	35	100.00
Húmus	35	RauBra	35	100.00
O_Espelho_da_Marquesa	34	GomLea	34	100.00
Memorias_d'um_doido:_romance_contemporâneo	32	APLopMen	32	100.00
Marina:_romance_passional	31	MBenPin	31	100.00
A_filha_do_Cabinda	30	AlfCam	30	100.00
As_obras_do_diabinho_da_mão_furada	29	AJSJ	29	100.00
A_história_de_Dona_Redonda_e_da_sua_gente	27	VirCA	27	100.00
A_bruxa:_cenas_açorianas	27	AugLou	27	100.00
Os_novelos_da_tia_Filomela	26	JulDin	26	100.00
Henriqueta	24	MPerSou	24	100.00
Um_melodrama_em_Santo_Tirso	23	PinCha	23	100.00
Por_bom_caminho	23	MarONei	23	100.00
Aventuras_de_Dona_Redonda	22	VirCA	22	100.00
A_última_ceia_do_Doutor_Fausto	20	AlbPim	20	100.00
mISTério@Tagus	20	LuiMSil	20	100.00
Tratado_das_paixões_da_alma	20	LobAnt	20	100.00
Diário_de_uma_criança	19	AnaCO	19	100.00
A_pálida_estrela	17	BulPat	17	100.00
Severina	17	GuiTor	17	100.00
Astúcias_de_namorada	13	PinCha	13	100.00
Esteiros	13	SoePGom	13	100.00
Alice	12	MAVC	12	100.00
A_Farsa	12	RauBra	12	100.00
Os_Canibais	9	AlvCar	9	100.00
Os_Pobres	8	RauBra	8	100.00
Sacrificada	7	AnaCO	7	100.00
Aventuras_do_sr._Criptogamo_:_romance_humorístico	7	AlfMPin	7	100.00
O_príncipe_com_orelhas_de_burro	5	JosReg	5	100.00
Inocente	5	VirCA	5	100.00
Uma_flor_de_entre_o_gelo	5	JulDin	5	100.00
A_vinha	3	AnaCO	3	100.00
A_feiticeira	3	AnaCO	3	100.00
O_Pobre_de_Pedir	3	RauBra	3	100.00
A_Morte_do_Palhaço	2	RauBra	2	100.00
Mais_Uma	2	CondFic	2	100.00
Menina_e_Moça	1	BerRib	1	100.00
