Miss_Kate	69658	CosVel	BR	1909	1900	69658	100.00
Oliver_Twist	69541	MacAss	BR	1870	1870	69541	100.00
Viriato_(TB)	69497	TeoBra	PT	1904	1900	69497	100.00
Numa_e_a_Ninfa	69479	LimBar	BR	1915	1910	69479	100.00
A_serpente_de_bronze	69370	HumCam	BR	1921	1920	69370	100.00
A_Rosa_do_Adro	69362	ManMRod	PT	1870	1870	69362	100.00
Pombos_de_Maomé	69360	HumCam	BR	1925	1920	69360	100.00
Esbocos_de_Apreciacões_Literárias	69097	CamCBra	PT	1863	1860	69097	100.00
A_Brasileira_de_Prazins	68960	CamCBra	PT	1882	1880	68960	100.00
Memórias_de_um_sargento_de_milícias	68842	ManAAlm	BR	1852	1850	68842	100.00
Dona_Guidinha_do_Poço	68831	MandOPai	BR	1891	1890	68831	100.00
Memórias_da_Rua_do_Ouvidor	67851	JMdM	BR	1878	1870	67851	100.00
As_Farpas_Tomo_VIII	67602	RamOrt	PT	1872	1870	67602	100.00
A_Funda_de_Davi	67411	HumCam	BR	1944	1940	67411	100.00
Eurico_o_Presbítero	67315	AleHer	PT	1844	1840	67315	100.00
Fradique_Mendes	67264	EcaQue	PT	1900	1900	67264	100.00
Rei_negro	67191	CoeNet	BR	1914	1910	67191	100.00
Cartas_Sobre_a_Educacao_da_Mocidade	67041	AntNRS	PT	1760	1760	67041	100.00
A_rua_do_oiro	67024	AlfMes	PT	1905	1900	67024	100.00
História_do_Futuro_I	66905	AntVie	PT	1659	1650	66905	100.00
O_Anel_Misterioso:_Cenas_da_Guerra_Peninsular	66903	AlbPim	PT	1873	1870	66903	100.00
Aventuras_de_Dona_Redonda	66796	VirCA	PT	1943	1940	66796	100.00
A_Carne	66676	JulRib	BR	1888	1880	66676	100.00
Romanceiro_(AG)	66639	AlmGar	PT	1851	1850	66639	100.00
O_Marquês_da_Bacalhoa	66526	AntAlb	PT	1908	1900	66526	100.00
Reflexões_sobre_a_Vaidade_dos_Homens	66507	MatAir	PT	1705	1700	66507	100.00
Iaiá_Garcia	66467	MacAss	BR	1878	1870	66467	100.00
Infaustas_Aventuras_de_Mestre_Marçal_Estouro:_Vítima_duma_paixão	66404	JosSMLea	PT	1862	1860	66404	100.00
Versos_Tomo_I	66388	FilEli	PT	1817	1810	66388	100.00
A_Intrusa	66370	JulLAlm	BR	1905	1900	66370	100.00
No_tempo_dos_franceses	66288	FraFBen	PT	1908	1900	66288	100.00
Helena	66283	MacAss	BR	1876	1870	66283	100.00
O_Cabeleira	66116	FraTav	BR	1876	1870	66116	100.00
Lendas_e_Narrativas_I	66107	AleHer	PT	1851	1850	66107	100.00
Fábulas_de_La_Fontaine	66009	TeoBra	PT	1907	1900	66009	100.00
Vinte_Horas_de_Liteira	65525	CamCBra	PT	1864	1860	65525	100.00
A_Freira_no_Subterraneo	65071	CamCBra	PT	1875	1870	65071	100.00
Sermões,_Antonio_Vieira	64976	AntVie	PT	1608	1600	64976	100.00
Baú_velho	64604	VirCor	BR	1927	1920	64604	100.00
Filomena_Borges	64591	AluAze	BR	1884	1880	64591	100.00
O_Bem_e_o_Mal	64527	CamCBra	PT	1863	1860	64527	100.00
O_Conde_de_S._Luís	64481	TomMel	PT	1874	1870	64481	100.00
Matilde	64407	AnMRSa	PT	1874	1870	64407	100.00
Memórias_II	64287	RauBra	PT	1925	1920	64287	100.00
As_Ilhas_Desconhecidas	64161	RauBra	PT	1926	1920	64161	100.00
A_luneta_mágica	63837	JMdM	BR	1869	1860	63837	100.00
Cenas_da_Foz	63826	CamCBra	PT	1860	1860	63826	100.00
Os_selvagens	63693	FraGAmo	PT	1875	1870	63693	100.00
Os_romances_da_semana	63685	JMdM	BR	1855	1850	63685	100.00
O_Príncipe_de_Nassau	63564	PauSet	BR	1925	1920	63564	100.00
Memórias_III	63469	RauBra	PT	1933	1930	63469	100.00
O_Homem	63308	AluAze	BR	1887	1880	63308	100.00
O_Carrasco_de_Vitor_Hugo	63167	CamCBra	PT	1872	1870	63167	100.00
O_Cura_de_São_Lourenço	62829	MMSAV	PT	1855	1850	62829	100.00
A_Divorciada	62380	JosAVie	PT	1906	1900	62380	100.00
Dentro_da_Noite	62335	JoadRio	BR	1910	1910	62335	100.00
A_Escrava_Isaura	62280	BerGui	BR	1875	1870	62280	100.00
Origens_Poéticas_do_Cristianismo	62197	TeoBra	PT	1880	1880	62197	100.00
George_Marcial	62196	VirVar	BR	1901	1900	62196	100.00
O_morto	62107	CoeNet	BR	1898	1890	62107	100.00
Inocência	62104	VisTau	BR	1872	1870	62104	100.00
Cartas_Familiares	61884	EcaQue	PT	1907	1900	61884	100.00
O_Livro_de_uma_Sogra	61857	AluAze	BR	1895	1890	61857	100.00
História_Sebástica	61840	MandSan	PT	1672	1670	61840	100.00
O_Conde_d_Abranhos	61760	EcaQue	PT	1925	1920	61760	100.00
Poesias_TOMO_II	61661	ADCS	PT	1807	1800	61661	100.00
Pero_da_Covilhã:_Episódio_Romântico_do_Século_XV	61638	ZNGB	PT	1897	1890	61638	100.00
Camões_(AG)	61587	AlmGar	PT	1825	1820	61587	100.00
Horas_de_Luta	61581	GueJun	PT	1910	1910	61581	100.00
A_carteira_de_um_neurastênico	61450	AntLob	BR	1903	1900	61450	100.00
As_Religiões_no_Rio	61357	JoadRio	BR	1904	1900	61357	100.00
Clara_dos_anjos	61310	LimBar	BR	1948	1940	61310	100.00
Mulheres_e_Crianças:_Notas_Sobre_Educação	61252	MAVC	PT	1880	1880	61252	100.00
A_arte_de_furtar	61231	MandCos	PT	1601	1600	61231	100.00
Poesias_TOMO_IV	61154	ADCS	PT	1807	1800	61154	100.00
Poemas_Escolhidos	60976	ClaMCos	BR	1768	1760	60976	100.00
Ecos_de_Paris	60746	EcaQue	PT	1905	1900	60746	100.00
A_Filha_do_Regicida	60490	CamCBra	PT	1875	1870	60490	100.00
Histórias_sem_Data	60468	MacAss	BR	1884	1880	60468	100.00
Amor_de_Perdição	60413	CamCBra	PT	1862	1860	60413	100.00
O_Retrato_de_Ricardina	60293	CamCBra	PT	1868	1860	60293	100.00
Ele	60279	ClaCam	PT	1899	1890	60279	100.00
Maria_ou_a_menina_roubada	60045	AGTS	BR	1852	1850	60045	100.00
Memorial_de_Aires	59736	MacAss	BR	1908	1900	59736	100.00
Nova_Floresta	59589	ManBer	PT	1644	1640	59589	100.00
