A_Farsa	155	RauBra	PT	155	100.00
Corte_na_Aldeia	154	FraRLob	PT	154	100.00
Ao_correr_da_pena	154	JosdAle	BR	154	100.00
Cartas_de_Inglaterra	153	EcaQue	PT	153	100.00
Coração_Cabeça_e_Estômago	153	CamCBra	PT	153	100.00
Os_Sertões_II	153	EucCun	BR	153	100.00
Mulheres_e_Crianças:_Notas_Sobre_Educação	152	MAVC	PT	152	100.00
Alves_e_Companhia	152	EcaQue	PT	152	100.00
Cartas_Inéditas_de_Fradique_Mendes	150	EcaQue	PT	150	100.00
O_Pároco_de_Aldeia	150	AleHer	PT	150	100.00
Vale_de_Josafá	149	HumCam	BR	149	100.00
Mota_Coqueiro	149	JosdPat	BR	149	100.00
Lendas_e_Narrativas_I	147	AleHer	PT	147	100.00
Ele	145	ClaCam	PT	145	100.00
Dicionário_de_Milagres	144	EcaQue	PT	144	100.00
Paisagens_da_China_e_do_Japão	141	VenMor	PT	141	100.00
O_Marquês_da_Bacalhoa	141	AntAlb	PT	141	100.00
Contos_e_fantasias	140	MAVC	PT	140	100.00
O_cacaolista:_scenas_da_vida_do_Amazonas	140	IngSou	BR	140	100.00
O_Brasileiro_Soares	140	LuiMag	PT	140	100.00
Às_quintas	139	CoeNet	BR	139	100.00
Romanceiro_(AG)	138	AlmGar	PT	138	100.00
A_história_de_Dona_Redonda_e_da_sua_gente	138	VirCA	PT	138	100.00
Clara_dos_anjos	137	LimBar	BR	137	100.00
O_Carrasco_de_Vitor_Hugo	137	CamCBra	PT	137	100.00
Os_Sertões_I	137	EucCun	BR	137	100.00
Esaú_e_Jacó	137	MacAss	BR	137	100.00
Inéditos_e_Esparsos	136	JulDin	PT	136	100.00
Aventuras_de_Basílio_Fernandes_Enxertado	135	CamCBra	PT	135	100.00
Cartas_Familiares	134	EcaQue	PT	134	100.00
História_de_Portugal_IV	134	AleHer	PT	134	100.00
O_Monge_de_Cister_I	134	AleHer	PT	134	100.00
Húmus	133	RauBra	PT	133	100.00
Onde_Esta_a_Felicidade	133	CamCBra	PT	133	100.00
As_Minas_de_Salomão	132	EcaQue	PT	132	100.00
A_Mortalha_de_Alzira	132	AluAze	BR	132	100.00
Novelas_do_Minho_I	131	CamCBra	PT	131	100.00
Dom_Casmurro	131	MacAss	BR	131	100.00
Cartas_Chilenas	131	TomAGon	BR	131	100.00
A_Marquesa_de_Vale_Negro	131	MarONei	PT	131	100.00
Viagens_na_Minha_Terra	129	AlmGar	PT	129	100.00
Os_filhos_de_Inês_de_Castro_(FFJL)	129	FFJL	PT	129	100.00
Os_filhos_de_Inês_de_Castro	129	FFJL	PT	129	100.00
Os_Pescadores	127	RauBra	PT	127	100.00
Doze_Casamentos_Felizes	127	CamCBra	PT	127	100.00
O_Conde_d_Abranhos	126	EcaQue	PT	126	100.00
Contos_para_a_Infância	126	GueJun	PT	126	100.00
A_Moreninha	125	JMdM	BR	125	100.00
As_Ilhas_Desconhecidas	125	RauBra	PT	125	100.00
Mana_Maria	124	AlcMac	BR	62	50.00
Mana_Maria	124	AntAMac	BR	62	50.00
Versos_Tomo_III	123	FilEli	PT	123	100.00
Memorial_de_um_passageiro_de_bonde	123	AmaAma	BR	123	100.00
No_tempo_dos_franceses	123	FraFBen	PT	123	100.00
Esfinge	122	CoeNet	BR	122	100.00
As_Vítimas-Algozes	122	JMdM	BR	122	100.00
Entremezes_de_Cordel	121	JDRC	PT	121	100.00
Miss_Kate	121	CosVel	BR	121	100.00
A_Freira_no_Subterraneo	120	CamCBra	PT	120	100.00
A_inauguração_da_estátua_equestre	119	JoaCCas	PT	119	100.00
Vinte_Horas_de_Liteira	119	CamCBra	PT	119	100.00
Arca_açoriana	119	AlmCAnd	BR	119	100.00
Os_Lusíadas	118	LuidCam	PT	118	100.00
Memórias_II	118	RauBra	PT	118	100.00
Numa_e_a_Ninfa	118	LimBar	BR	118	100.00
O_Anel_Misterioso:_Cenas_da_Guerra_Peninsular	118	AlbPim	PT	118	100.00
Maria_da_Fonte	117	CamCBra	PT	117	100.00
O_Mandarim	116	EcaQue	PT	116	100.00
Os_romances_da_semana	115	JMdM	BR	115	100.00
Maria_ou_a_menina_roubada	114	AGTS	BR	114	100.00
Os_tripeiros:_Crónica_do_século_XIV	114	AJCL	PT	114	100.00
Os_filhos_da_Candinha	114	MardAnd	BR	114	100.00
Pero_da_Covilhã:_Episódio_Romântico_do_Século_XV	113	ZNGB	PT	113	100.00
O_dominó_preto	113	FloEsp	PT	113	100.00
Memórias_do_Cárcere_I	112	CamCBra	PT	112	100.00
O_Bobo	112	AleHer	PT	112	100.00
