"story_title","story_date_published","story_url","search_term_used"
"WAR ON THE TRAWLERS.I","1915-05-08","http://newspapers.library.wales/view/4099158/4099161/13/","German+Submarine"
"! PORT TALBOT CAPTAIN KILLED BY PtMIES 1 ,PORT ￼CAPTAIN KILLED BY PIPATES","1915-05-08","http://newspapers.library.wales/view/4099158/4099166/96/","German+Submarine"
"TEN MINUTES TO QlHT.","1916-08-16","http://newspapers.library.wales/view/4102037/4102038/22/","German+Submarine"
"IENEMY ELUDED. | -1","1916-12-08","http://newspapers.library.wales/view/4102709/4102710/34/","German+Submarine"
"- - -I FISHIN2 -BOAT CREW LANDED","1916-04-27","http://newspapers.library.wales/view/4101446/4101447/24/","German+Submarine"
"[No title]","1916-02-18","http://newspapers.library.wales/view/3413151/3413156/54/","German+Submarine"
"DUTCH MOTOR VESSEL STOPPED. i .. - - . -","1916-02-05","http://newspapers.library.wales/view/4092746/4092754/161/","German+Submarine"
"BARQUE FIRED BY PIRATES.","1915-07-24","http://newspapers.library.wales/view/4114742/4114749/128/","German+Submarine"
"Late Wal&quote; NevvG. rlit>...6","1915-03-27","http://newspapers.library.wales/view/3611508/3611513/49/","German+Submarine"
"D.S.M. NEPHEW OF BARRY SENIOR PIER MASTER. I iI","1917-10-26","http://newspapers.library.wales/view/4130774/4130781/52/","German+Submarine"
"[No title]","1916-11-24","http://newspapers.library.wales/view/4169179/4169184/26/","German+Submarine"
"NAVAL. 1 -I","1916-04-08","http://newspapers.library.wales/view/4092823/4092828/86/","German+Submarine"
"PATROL VESSEL SUNK.","1916-07-21","http://newspapers.library.wales/view/4121830/4121836/98/","German+Submarine"
"THE LOST LUSITANIA.","1915-05-21","http://newspapers.library.wales/view/4121281/4121288/94/","German+Submarine"
"[No title]","1915-06-04","http://newspapers.library.wales/view/4121299/4121302/20/","German+Submarine"
"I -AUXILIARY -CRUISER -SUNK.-","1915-08-20","http://newspapers.library.wales/view/4121398/4121404/102/","German+Submarine"
"I I BOARDING STEAMER SUNK, v","1918-09-27","http://newspapers.library.wales/view/4124825/4124832/57/","German+Submarine"
"[No title]","1915-12-10","http://newspapers.library.wales/view/4121542/4121544/12/","German+Submarine"
"TALSARNAU.I","1917-09-28","http://newspapers.library.wales/view/4244011/4244017/67/","German+Submarine"
"GERMANS AND LOST U BOAT. I","1915-12-17","http://newspapers.library.wales/view/4121551/4121557/79/","German+Submarine"
"[No title]","1916-01-14","http://newspapers.library.wales/view/4121587/4121593/98/","German+Submarine"
"[No title]","1917-03-23","http://newspapers.library.wales/view/4241502/4241507/30/","German+Submarine"
"[No title]","1916-08-04","http://newspapers.library.wales/view/4242141/4242143/4/","German+Submarine"
"[No title]","1917-12-28","http://newspapers.library.wales/view/4241862/4241865/16/","German+Submarine"
"DESTROYER TORPEDOED. I","1917-09-28","http://newspapers.library.wales/view/4122388/4122394/92/","German+Submarine"
"I U BOAT SUNK. —?—","1916-05-05","http://newspapers.library.wales/view/4121731/4121733/6/","German+Submarine"
"i : ROUSING NOhWAY-I-.;--","1915-08-21","http://newspapers.library.wales/view/4092530/4092538/154/","German+Submarine"
"SUBMARINE WITH MANY i &apos;NUMBERS.","1915-08-21","http://newspapers.library.wales/view/4092530/4092532/26/","German+Submarine"
"I PROVISIONS SEIZED. J","1915-06-01","http://newspapers.library.wales/view/4099324/4099325/39/","German+Submarine"
"-.-GERMAN SUBMARINE ASHORE. j","1915-08-24","http://newspapers.library.wales/view/4099878/4099879/6/","German+Submarine"
"[No title]","1917-10-02","http://newspapers.library.wales/view/4104080/4104083/77/","German+Submarine"
"U-￼-s U BOAT&apos;S ACTIVITY.","1916-11-04","http://newspapers.library.wales/view/4102504/4102508/85/","German+Submarine"
"IPIRATES AT WORK I","1915-07-27","http://newspapers.library.wales/view/4099704/4099705/20/","German+Submarine"
"] HESPERIAN TORPEDOED","1915-11-01","http://newspapers.library.wales/view/4100313/4100314/38/","German+Submarine"
"IBRff ISH WARSFII.) -COLLIDES WITHI MERCHANTIIE AUXILIARY","1915-11-06","http://newspapers.library.wales/view/4114923/4114928/89/","German+Submarine"
"NORWAY&apos;S PROTEST.I","1915-08-21","http://newspapers.library.wales/view/4114794/4114801/122/","German+Submarine"
"U.S. STEAMER SHELLED.I","1917-03-17","http://newspapers.library.wales/view/4115517/4115518/9/","German+Submarine"
"I NAVAL HONOURS.","1915-04-15","http://newspapers.library.wales/view/3857596/3857603/95/","German+Submarine"
"ITRAWLER SHELLED BY GERMAN I ISUBMARINE.","1915-04-28","http://newspapers.library.wales/view/4118492/4118495/25/","German+Submarine"
"IENEMY SUBMARINE SUNK. j","1915-05-21","http://newspapers.library.wales/view/4121281/4121283/14/","German+Submarine"
"IVICTIMS OF SUBMARINES. I","1916-05-05","http://newspapers.library.wales/view/4121731/4121734/32/","German+Submarine"
"GERMAN HOWL.","1915-03-06","http://newspapers.library.wales/view/4092332/4092337/68/","German+Submarine"
":RAMMED AND SUNK. ———","1915-03-13","http://newspapers.library.wales/view/4092341/4092346/67/","German+Submarine"
