comunidad_autonoma,provincia,poblacion,lat,lng
Andalucía,Córdoba,Añora,38.41099,-4.897461
Andalucía,Córdoba,Baena,37.61441,-4.326089
Andalucía,Córdoba,Belalcázar,38.57843,-5.167119
Andalucía,Córdoba,Belmez,38.27234,-5.208753
Andalucía,Córdoba,Benamejí,37.26732,-4.540418
Andalucía,Córdoba,Blázquez (Los),38.4065,-5.438988
Andalucía,Córdoba,Bujalance,37.89657,-4.383588
Andalucía,Córdoba,Cabra,37.47437,-4.425931
Andalucía,Córdoba,Cañete de las Torres,37.86741,-4.318819
Andalucía,Córdoba,Carcabuey,37.44359,-4.273436
Andalucía,Córdoba,Cardeña,38.27047,-4.32373
Andalucía,Córdoba,Carlota (La),37.67361,-4.932553
Andalucía,Córdoba,Carpio (El),37.94054,-4.498775
Andalucía,Córdoba,Castro del Río,37.68864,-4.481579
Andalucía,Córdoba,Conquista,38.40844,-4.500968
Andalucía,Córdoba,Córdoba,37.88473,-4.779152
Andalucía,Córdoba,Doña Mencía,37.55457,-4.357603
Andalucía,Córdoba,Dos Torres,38.44524,-4.894932
Andalucía,Córdoba,Encinas Reales,37.27488,-4.489717
Andalucía,Córdoba,Espejo,37.68211,-4.552363
Andalucía,Córdoba,Espiel,38.18865,-5.018202
Andalucía,Córdoba,Fernán-Núñez,37.67226,-4.723994
Andalucía,Córdoba,Fuente-Tójar,37.51163,-4.148019
Andalucía,Córdoba,Fuente la Lancha,38.42257,-5.048906
Andalucía,Córdoba,Fuente Obejuna,38.26675,-5.419834
Andalucía,Córdoba,Fuente Palmera,37.70319,-5.103904
Andalucía,Córdoba,Granjuela (La),38.3711,-5.351436
Andalucía,Córdoba,Guadalcázar,37.75755,-4.94463
Andalucía,Córdoba,Guijo (El),38.49629,-4.782716
Andalucía,Córdoba,Hinojosa del Duque,38.50099,-5.148333
Andalucía,Córdoba,Hornachuelos,37.83084,-5.242984
Andalucía,Córdoba,Iznájar,37.25726,-4.308423
Andalucía,Córdoba,Lucena,37.40873,-4.485598
Andalucía,Córdoba,Luque,37.55932,-4.276523
Andalucía,Córdoba,Montalbán de Córdoba,37.58292,-4.749699
Andalucía,Córdoba,Montemayor,37.64862,-4.698889
Andalucía,Córdoba,Montilla,37.58963,-4.638313
Andalucía,Córdoba,Montoro,38.02617,-4.381874
Andalucía,Córdoba,Monturque,37.47332,-4.581713
Andalucía,Córdoba,Moriles,37.43526,-4.608767
Andalucía,Córdoba,Nueva Carteya,37.58566,-4.467291
Andalucía,Córdoba,Obejo,38.13433,-4.800506
Andalucía,Córdoba,Palenciana,37.2492,-4.583651
Andalucía,Córdoba,Palma del Río,37.70163,-5.283767
Andalucía,Córdoba,Pedro Abad,37.96708,-4.457226
Andalucía,Córdoba,Pedroche,38.42873,-4.763438
Andalucía,Córdoba,Peñarroya-Pueblonuevo,38.30304,-5.272851
Andalucía,Córdoba,Posadas,37.80041,-5.107038
Andalucía,Córdoba,Pozoblanco,38.37742,-4.848376
Andalucía,Córdoba,Priego de Córdoba,37.4389,-4.194839
Andalucía,Córdoba,Puente Genil,37.39051,-4.770465
Andalucía,Córdoba,Rambla (La),37.60816,-4.741319
Andalucía,Córdoba,Rute,37.32587,-4.371301
Andalucía,Córdoba,San Sebastián de los Ballesteros,37.65493,-4.824157
Andalucía,Córdoba,Santa Eufemia,38.59544,-4.902765
Andalucía,Córdoba,Santaella,37.56627,-4.845094
Andalucía,Córdoba,Torrecampo,38.4751,-4.679456
Andalucía,Córdoba,Valenzuela,37.77508,-4.219841
Andalucía,Córdoba,Valsequillo,38.40498,-5.35168
Andalucía,Córdoba,Victoria (La),37.88327,-4.784959
Andalucía,Córdoba,Villa del Río,37.98227,-4.290878
Andalucía,Córdoba,Villafranca de Córdoba,37.96193,-4.545728
Andalucía,Córdoba,Villaharta,38.13951,-4.903052
Andalucía,Córdoba,Villanueva de Córdoba,38.32279,-4.628341
Andalucía,Córdoba,Villanueva del Duque,38.39297,-5.000132
Andalucía,Córdoba,Villanueva del Rey,38.19965,-5.151443
Andalucía,Córdoba,Villaralto,38.45571,-4.984371
Andalucía,Córdoba,Villaviciosa de Córdoba,38.07598,-5.014214
Andalucía,Córdoba,Viso (El),38.4827,-4.955392
Andalucía,Córdoba,Zuheros,37.54314,-4.316415
Andalucía,Granada,Agrón,37.03058,-3.829724
Andalucía,Granada,Alamedilla,37.58174,-3.244309
Andalucía,Granada,Albolote,37.23085,-3.657415
Andalucía,Granada,Albondón,36.82729,-3.210813
Andalucía,Granada,Albuñán,37.22719,-3.133893
Andalucía,Granada,Albuñol,36.79125,-3.203485
Andalucía,Granada,Albuñuelas,36.9282,-3.631472
Andalucía,Granada,Aldeire,37.16264,-3.072488
Andalucía,Granada,Alfacar,37.23657,-3.570654
Andalucía,Granada,Algarinejo,37.32492,-4.158846
Andalucía,Granada,Alhama de Granada,37.00252,-3.988389
Andalucía,Granada,Alhendín,37.1076,-3.645584
Andalucía,Granada,Alicún de Ortega,37.60968,-3.137986
Andalucía,Granada,Almegíjar,36.90245,-3.299801
Andalucía,Granada,Almuñécar,36.73454,-3.690736
Andalucía,Granada,Alpujarra de la Sierra,36.9815,-3.157129
Andalucía,Granada,Alquife,37.17983,-3.116288
Andalucía,Granada,Arenas del Rey,36.95771,-3.894323
Andalucía,Granada,Armilla,37.1401,-3.617981
Andalucía,Granada,Atarfe,37.2229,-3.687416
Andalucía,Granada,Baza,37.49065,-2.774473
Andalucía,Granada,Beas de Granada,37.21916,-3.481737
Andalucía,Granada,Beas de Guadix,37.2794,-3.205976
Andalucía,Granada,Benalúa,37.3503,-3.16904
Andalucía,Granada,Benalúa de las Villas,37.42758,-3.683473
Andalucía,Granada,Benamaurel,37.60913,-2.699214
Andalucía,Granada,Bérchules,36.97672,-3.190379
Andalucía,Granada,Bubión,36.94883,-3.356741
Andalucía,Granada,Busquístar,36.93771,-3.294846
Andalucía,Granada,Cacín,37.05995,-3.91689
Andalucía,Granada,Cádiar,36.94673,-3.180546
Andalucía,Granada,Cájar,37.13422,-3.570618
Andalucía,Granada,Calahorra (La),37.18137,-3.064513
Andalucía,Granada,Calicasas,37.27329,-3.6182
Andalucía,Granada,Campotéjar,37.48131,-3.616497
Andalucía,Granada,Cáñar,36.92661,-3.428235
Andalucía,Granada,Caniles,37.43626,-2.722401
Andalucía,Granada,Capileira,36.96122,-3.358654
Andalucía,Granada,Carataunas,36.92287,-3.408202
Andalucía,Granada,Cástaras,36.93169,-3.253733
Andalucía,Granada,Castilléjar,37.7147,-2.642967
Andalucía,Granada,Castril,37.79573,-2.779088
Andalucía,Granada,Cenes de la Vega,37.15931,-3.537524
Andalucía,Granada,Chauchina,37.20142,-3.77254
Andalucía,Granada,Chimeneas,37.13137,-3.823198
Andalucía,Granada,Churriana de la Vega,37.14777,-3.64595
Andalucía,Granada,Cijuela,37.19989,-3.810801
Andalucía,Granada,Cogollos de Guadix,37.22443,-3.161336
Andalucía,Granada,Cogollos de la Vega,37.27486,-3.572908
Andalucía,Granada,Colomera,37.37206,-3.71382
Andalucía,Granada,Cortes de Baza,37.65493,-2.769917
Andalucía,Granada,Cortes y Graena,37.30363,-3.218777
Andalucía,Granada,Cuevas del Campo,37.60847,-2.931033
Andalucía,Granada,Cúllar,37.58368,-2.576282
Andalucía,Granada,Cúllar Vega,37.15327,-3.670436
Andalucía,Granada,Darro,37.35002,-3.292531
Andalucía,Granada,Dehesas de Guadix,37.58868,-3.102278
Andalucía,Granada,Deifontes,37.32524,-3.594484
Andalucía,Granada,Diezma,37.32085,-3.331664
Andalucía,Granada,Dílar,37.07499,-3.601624
Andalucía,Granada,Dólar,37.18004,-2.989589
Andalucía,Granada,Dúdar,37.18567,-3.484442
Andalucía,Granada,Dúrcal,36.98793,-3.56616
Andalucía,Granada,Escúzar,37.06251,-3.761499
