ISSN,titulo, poblacion,comunidad_autonoma,comprende,año_inicio,año_final
2386-9933,La Federación (Madrid. 1889),Madrid,Comunidad de Madrid,Del 5/8/1889 al 27/4/1890,1889,1890
2173-9838,Federación Nacional de las Artes del Libro,Madrid,Comunidad de Madrid,Del 02/1914 al 03/1915. Del n. 1 al n. 14,1914,1915
2254-1780,Fénix (Madrid. 1935),Madrid,Comunidad de Madrid,Del n. 1 (27/2/1935) al n. 6 (27/12/1935),1935,1935
2254-5689,El Fernandino de Valencia en Madrid,Madrid,Comunidad de Madrid,14/06/1814,1814,1814
2171-9829,Ferrobellum (Madrid),Madrid,Comunidad de Madrid,n. 25 (18 jul. 1938),1938,1938
2172-5217,Fidelio (Madrid),Madrid,Comunidad de Madrid,Del n. 1 (1/12/1902) al n. 27 (12/1903),1902,1903
2171-7559,El Fígaro (Madrid. 1879),Madrid,Comunidad de Madrid,Del 1/12/1879 al 29/6/1883,1879,1883
2530-3007,El Fígaro (Madrid. 1918),Madrid,Comunidad de Madrid,Del 15/8/1918 al 1/4/1920,1918,1920
1889-7770,Figurín de El Patrón americano,Madrid,Comunidad de Madrid,Del 7/1907 al 12/1908. Del n. 1 al n. 18,1907,1908
2174-842X,Filipinas ante Europa,Madrid,Comunidad de Madrid,Del 25/10/1899 al 10/06/1901. Del n. 1 al n. 36,1899,1901
2172-3656,La Filoxera (Madrid),Madrid,Comunidad de Madrid,Del 8/9/1878 al 30/7/1884,1878,1884
2171-522X,El Financiero (Madrid),Madrid,Comunidad de Madrid,Del n. 881 (15/2/1918) al n. 2.175 (27/7/1936),1918,1936
2171-5289,El Financiero hispano-americano,Madrid,Comunidad de Madrid,Del n. 132 (9/10/1903) al n. 880 (8/02/1918),1903,1918
2340-4345,Finisterre (Madrid. 1943),Madrid,Comunidad de Madrid,Del 1/1946 al 7/1946,1946,1946
1577-0087,El Fiscal patriótico de España,Madrid,Comunidad de Madrid,Del 11/10/1813 al 27/06/1814. Del n. 1 al n. 75,1813,1814
1577-922X,La Fisiatría (Madrid),Madrid,Comunidad de Madrid,Del n. 187 (7/1934) al n. 211 (7/1936),1934,1936
2171-8237,La Física moderna,Madrid,Comunidad de Madrid,Del 11/1887 al 3/1889,1887,1889
2171-1739,El Flamenco (Madrid),Madrid,Comunidad de Madrid,Del 12/04/1914 al 26/04/1914,1914,1914
2171-3383,Flirt (Madrid),Madrid,Comunidad de Madrid,Del 09/02/1922 al 28/12/1922. Del n. 1 al n. 47,1922,1922
2174-6214,Fomento (Madrid. 1853),Madrid,Comunidad de Madrid,Del 31/08/1853 al 16/07/1855,1853,1855
2254-0415,El Fomento de España,Madrid,Comunidad de Madrid,Del 1 (1/11/1864) al n. 19 (1/8/1865),1864,1865
2174-9744,El Fomento literario,Madrid,Comunidad de Madrid,Del 04/02/1864 al 18/12/1864,1864,1864
0426-9799,El Foro español (Madrid. 1898),Madrid,Comunidad de Madrid,Del 10/1/1898 al 31/12/1923,1898,1923
2172-5462,Fototipias (Madrid),Madrid,Comunidad de Madrid,n. 1 (29/11/1900),1900,1900
2340-7018,Fr. Gerundio boletín de noticias,Madrid,Comunidad de Madrid,Del 10/11/1838 al 5/3/1841,1838,1841
2340-3446,El Fraile (Madrid),Madrid,Comunidad de Madrid,Del n. 1 (1/10/1869) al n. 43 (5/8/1870),1869,1870
2174-0518,La Fraternidad universal,Madrid,Comunidad de Madrid,De 01/1893 al 12/1894,1893,1894
2174-971X,El Fray Gerundio de ogaño,Madrid,Comunidad de Madrid,Del 08/08/1872 al 31/12/1872,1872,1872
2254-5816,Fray Gerundio boletín de noticias,Madrid,Comunidad de Madrid,Del n. 138 (4/1/1842) al n. 290 (30/6/1842),1842,1842
2386-9941,Fray Lazo,Madrid,Comunidad de Madrid,Del n. 1 (13/8/1931) al n. 44 (16/11/1932),1931,1932
2386-9984,Fray Tinieblas,Madrid,Comunidad de Madrid,Del n. 1 (1/5/1855) al n. 25 (10/9/1855),1855,1855
2254-0741,Fray Verás (Madrid),Madrid,Comunidad de Madrid,Del 22/9/1877 al 30/3/1879,1877,1879
2386-9976,Frente libertario (Madrid),Madrid,Comunidad de Madrid,Del n. 6 (20/10/1936) al 734 (24/3/1939),1936,1939
1576-2610,Fuera de serie (Madrid),Madrid,Comunidad de Madrid,2017-,2017,2023
2172-6167,Fuerza (Madrid),Madrid,Comunidad de Madrid,Del n. 1 (1/4/1932) al n. 42 (1/5/1936),1932,1936
2171-5238,El Fusil (Madrid),Madrid,Comunidad de Madrid,Del 17/04/1899 al 28/12/1912,1899,1912
2171-6412,Gaceta agrícola del Ministerio de Fomento,Madrid,Comunidad de Madrid,Del 8/1876 al 12/1894,1876,1894
0212-1220,Gaceta de Madrid (1697),Madrid,Comunidad de Madrid,Del 2/1/1703 al 31/12/1833,1703,1833
2254-5824,Gaceta de instrucción pública,Madrid,Comunidad de Madrid,Del 01/02/1889 al 30/12/1907,1889,1907
2254-5832,Gaceta de instrucción pública y bellas artes,Madrid,Comunidad de Madrid,Del 05/01/1908 al 26/09/1917,1908,1917
1889-9986,Gaceta de los caminos de hierro,Madrid,Comunidad de Madrid,Del 01/01/1856 al 01/06/1934,1856,1934
1134-3931,La Gaceta de los negocios,Madrid,Comunidad de Madrid,De 1999 a 2009,1999,2009
2444-6076,Gaceta de los tribunales o Causas y hechos célebres del reino y extranjeros,Madrid,Comunidad de Madrid,1841,1841,1841
2171-3200,Gaceta de penales y de policía,Madrid,Comunidad de Madrid,Del 16/11/1900 al 11/03/1901,1900,1901
2660-1915,La Gaceta de policía,Madrid,Comunidad de Madrid,28/1/1911,1911,1911
0212-3630,La Gaceta de sanidad militar,Madrid,Comunidad de Madrid,Del 10/01/1875 al 25/12/1884,1875,1884
2660-3225,Gaceta del practicante,Madrid,Comunidad de Madrid,7/1936,1936,1936
2254-6987,Gaceta economista (Periódico semanal),Madrid,Comunidad de Madrid,Del 28/05/1860 al 26/10/1863,1860,1863
2172-5322,La Gaceta galante,Madrid,Comunidad de Madrid,n. 7 (7/4/1932),1932,1932
1131-4494,Gaceta homeopática,Madrid,Comunidad de Madrid,Del 1848 al 30/08/1849,1848,1849
1131-4516,Gaceta homeopática de Madrid,Madrid,Comunidad de Madrid,Del 10/04/1845 al 25/03/1846,1845,1846
2444-636X,La Gaceta industrial,Madrid,Comunidad de Madrid,Del 7/1/1865 al 25/12/1890,1865,1890
2444-6394,Gaceta industrial y ciencia eléctrica,Madrid,Comunidad de Madrid,Del 10/1/1891 al 25/6/1891,1891,1891
2254-6979,Gaceta jurídica de guerra y marina,Madrid,Comunidad de Madrid,Del 15/01/1908 al 01/05/1936,1908,1936
1575-7226,La Gaceta literaria (Madrid. 1927),Madrid,Comunidad de Madrid,Del 01/01/1927 al 01/12/1931. Del n. 1 al n. 119,1927,1931
1889-9994,Gaceta literaria y musical de España,Madrid,Comunidad de Madrid,Del 15/10/1843 al 24/02/1844,1843,1844
0214-4247,Gaceta médica (Madrid),Madrid,Comunidad de Madrid,Del 10/01/1845 al 30/12/1853,1845,1853
1697-5766,Gaceta musical de Madrid (Madrid. 1855),Madrid,Comunidad de Madrid,Del 4/2/1855 al 28/12/1856,1855,1856
1697-6096,Gaceta musical de Madrid (Madrid. 1865),Madrid,Comunidad de Madrid,Del 05/10/1865 al 07/03/1878. Del n. 1 al n. 43,1865,1878
1889-5506,Gaceta política,Madrid,Comunidad de Madrid,Del 01/05/1908 al 01/05/1909. Del n. 1 al n. 21,1908,1909
2695-6004,La Gacetilla (Madrid. 1865),Madrid,Comunidad de Madrid,Del 2/2/1865 al 15/5/1865,1865,1865
2174-4866,Galería (Madrid. 1936),Madrid,Comunidad de Madrid,15/01/1936. N. 1,1936,1936
2172-6574,Galicia en Madrid (Madrid. 1932),Madrid,Comunidad de Madrid,Del n.7 (1/7/1932) al n. 41 (7/1935),1932,1935
1886-1636,El Garbanzo (Madrid),Madrid,Comunidad de Madrid,Del 18/07/1872 al 24/04/1873,1872,1873
2172-0649,El Gato escondido,Madrid,Comunidad de Madrid,N. 1 (1820),1820,1820
2486-0468,Gazeta del infierno,Madrid,Comunidad de Madrid,13/08/1808,1808,1808
1889-7967,Gazeta ordinaria de Madrid,Madrid,Comunidad de Madrid,Del 4/1/1678 al 27/12/1678,1678,1678
1889-8734,Gedeón (Madrid),Madrid,Comunidad de Madrid,Del 14/11/1895 al 13/10/1912,1895,1912
0214-428X,El Genio médico-quirúrgico,Madrid,Comunidad de Madrid,Del 7/1/1867 al 31/12/1882,1867,1882
0214-4271,El Genio quirúrgico,Madrid,Comunidad de Madrid,Del 07/01/1861 al 22/12/1866. Del n. 277 al n. 557,1861,1866
2254-4690,El Genio y el arte,Madrid,Comunidad de Madrid,Del 01/01/1883 al 18/12/1888. Del n. 22 al n. 77,1883,1888
2174-8861,Gente vieja,Madrid,Comunidad de Madrid,Del 12/1900 al 25/10/1905. Del n. 1 al n. 142,1900,1905
1577-6158,Gil Blas (Madrid. 1864),Madrid,Comunidad de Madrid,Del 26/11/1864 al 29/09/1872,1864,1872
1885-8562,Gil Blas (Madrid. 1882),Madrid,Comunidad de Madrid,Del 29/01/1882 al 01/06/1882,1882,1882
2171-0082,El Globo (Madrid. 1875),Madrid,Comunidad de Madrid,Del 25/03/1875 al 31/05/1932. Del n. 1 al n. 16640,1875,1932
0213-926X,El Globo (Madrid. 1987),Madrid,Comunidad de Madrid,Del 9/10/1987 al 12/9/1988,1987,1988
1889-8874,El Globo ilustrado,Madrid,Comunidad de Madrid,Del 01/06/1866 al 16/08/1867. Del n. 1 al n. 30,1866,1867
2487-7980,Gol (Madrid),Madrid,Comunidad de Madrid,Del 1/11/1941 al 30/6/1945,1941,1945
1885-2467,Los Golfos del arte,Madrid,Comunidad de Madrid,Del 01/11/1907 al 18/02/1908,1907,1908
2605-423X,El Gorro blanco,Madrid,Comunidad de Madrid,Del 1/9/1906 al 2/1946,1906,1946
2171-2875,Gracia y justicia,Madrid,Comunidad de Madrid,Del 05/09/1931 al 15/02/1936,1931,1936
1698-3386,La Gran Vía (Madrid),Madrid,Comunidad de Madrid,Del 02/07/1893 al 14/12/1895,1893,1895
2174-5935,El Gran Bvfón,Madrid,Comunidad de Madrid,Del 22/12/1912 al 03/05/1913. Del n. 1 al n. 19,1912,1913
1889-8424,Gran vida,Madrid,Comunidad de Madrid,Del 01/07/1903 al 01/12/1929,1903,1929
2171-3693,Graphos ilustrado,Madrid,Comunidad de Madrid,Del 01/1906 al 12/1907,1906,1907
2387-2039,El Gratis (Madrid),Madrid,Comunidad de Madrid,Del 01/08/1842 al 14/01/1843,1842,1843
2386-9992,El Grito de guerra,Madrid,Comunidad de Madrid,Del n. 1 (18/6/1871) al n. 14 (9/9/1871),1871,1871
2173-2426,La Guerra y su preparación,Madrid,Comunidad de Madrid,De 5/1916 a 12/1931,1916,1931
0212-5250,Guía de editores y libreros,Madrid,Comunidad de Madrid,1952,1952,1952
1579-1076,Guía de forasteros en Madrid,Madrid,Comunidad de Madrid,Del 1838 al 1872,1838,1872
2171-0104,Guía de litigantes y pretendientes,Madrid,Comunidad de Madrid,Del 1786 al 1842,1786,1842
2485-6312,Guía del estado eclesiástico de España,Madrid,Comunidad de Madrid,1862,1862,1862
2485-6304,Guía del estado eclesiástico seglar y regular de España en particular y de toda la Iglesia Católica en general,Madrid,Comunidad de Madrid,1818 y 1831,1818,1831
1698-8361,Guía del peluquero y barbero,Madrid,Comunidad de Madrid,Del 01/01/1873 al 01/09/1880,1873,1880
2444-6815,Guía diplomática y consular de España,Madrid,Comunidad de Madrid,1908,1908,1908
2173-626X,Guía industrial y artística del centro,Madrid,Comunidad de Madrid,De 1930 a 1933/1934,1930,1934
1579-1084,Guía oficial de España,Madrid,Comunidad de Madrid,Del 1873 al 1935,1873,1935
2488-8540,Guía oficial de los balnearios españoles,Madrid,Comunidad de Madrid,1935,1935,1935
1889-8785,La Guirnalda (Madrid),Madrid,Comunidad de Madrid,Del 01/01/1867 al 20/12/1883.,1867,1883
1132-3434,Gutiérrez (Madrid),Madrid,Comunidad de Madrid,Del 07/05/1927 al 29/09/1934,1927,1934
1577-936X,Haz (Madrid),Madrid,Comunidad de Madrid,Del 26/3/1935 al 14/2/1936,1935,1936
1889-8963,El Heraldo (Madrid. 1842),Madrid,Comunidad de Madrid,Del 15/06/1842 al 16/07/1854,1842,1854
2660-1761,Heraldo de Alcalá,Madrid,Comunidad de Madrid,20/8/1907,1907,1907
2171-0090,El Heraldo de Madrid,Madrid,Comunidad de Madrid,Del 29/10/1890 al 26/03/1939,1980,1939
2253-6027,Heraldo de la industria,Madrid,Comunidad de Madrid,Del 01/12/1899 al 15/10/1904. Del n. 1 al  n. 99,1899,1904
2172-3478,El Heraldo de las artes de las letras y de los espectáculos,Madrid,Comunidad de Madrid,Del 1/10/1871 al 28/4/1872,1871,1972
2171-5149,Heraldo deportivo (Madrid),Madrid,Comunidad de Madrid,Del 01/06/1915 al 25/12/1935. Del n. 1 al n. 742,1915,1935
2171-7311,El Heraldo militar (Madrid),Madrid,Comunidad de Madrid,Del 04/01/1900 al 21/12/1918,1900,1918
2174-9337,Hipódromo (Madrid),Madrid,Comunidad de Madrid,Del 28/02/1932 al 10/05/1934. Del n. 83 al n. 157,1932,1934
2173-5581,Hispana esperantisto,Madrid,Comunidad de Madrid,Del 01/1917 al 12/1922. Del n. 1 al n. 61,1917,1922
2173-982X,Hispana esperanto gazeto,Madrid,Comunidad de Madrid,Del 04/1931 al 03/1936. Del n. 1 al n. 57,1931,1936
2174-4343,Hispanidad (Madrid),Madrid,Comunidad de Madrid,Del 12/10/1935 al 01/03/1936. Del n. 1 al  n. 9,1935,1936
2174-6966,Historia (Madrid. 1935),Madrid,Comunidad de Madrid,Del 03/1935 al 05/1935. Del n. 1 al n. 3,1935,1935
2171-7508,El Hogar patrio,Madrid,Comunidad de Madrid,Del 12/1928 al 6/1936,1928,1936
2172-7066,El Hogar propio,Madrid,Comunidad de Madrid,Del n. 15 (1/1930) al n. 26 (12/1930),1930,1930
0214-5243,El Hogar (Madrid),Madrid,Comunidad de Madrid,Del 03/06/1866 al 03/03/1867. Del n. 1 al n. 26,1866,1867
1886-5968,La Hoja hidrológica,Madrid,Comunidad de Madrid,Del 20/03/1920 al 20/04/1922. Del n. 1 al n. 9,1920,1922
2660-6569,Hoja literaria (Madrid),Madrid,Comunidad de Madrid,1933. Del n. 1 al n. 2,1933,1933
2171-0112,Los Hombres libres,Madrid,Comunidad de Madrid,Del 17/11/1923 al 15/12/1923,1923,1923
1131-4508,La Homeopatía (Madrid. 1846),Madrid,Comunidad de Madrid,Del 10/04/1846 al 10/03/1847,1846,1847
1889-9935,La Hora (Madrid. 1921),Madrid,Comunidad de Madrid,Del 02/10/1921 al 04/12/1921,1921,1921
0437-8679,La Hora (Madrid. 1945),Madrid,Comunidad de Madrid,Del 9/1/1946 al 1/1960,1946,1960
1889-9943,Horizonte (Madrid. 1922),Madrid,Comunidad de Madrid,Del 30/11/1922 al 15/12/1922. Del n. 2 al n. 3,1922,1922
2174-9582,Hormigón y acero (Madrid. 1934),Madrid,Comunidad de Madrid,Del 05/1934 al 06/1936. Del n. 1 al n. 26,1934,1936
1130-7536,La Iberia (Madrid. 1854),Madrid,Comunidad de Madrid,Del 15/06/1854 al 21/06/1866,1854,1866
1130-7552,La Iberia (Madrid. 1868),Madrid,Comunidad de Madrid,Del 30/09/1868 al 14/05/1898,1868,1898
2172-5179,La Iberia artística,Madrid,Comunidad de Madrid,Del n. 22 (2/12/1866) al n. 23 (9/12/1866),1866,1866
2171-0120,La Iberia musical,Madrid,Comunidad de Madrid,Del 02/01/1842 al 28/08/1842. Del n. 1 al n. 35,1842,1842
2171-0139,La Iberia musical y literaria,Madrid,Comunidad de Madrid,Del 04/09/1842 al 25/12/1842. Del n. 1 al n. 17,1842,1842
2171-8067,Ícaro (Madrid),Madrid,Comunidad de Madrid,Del 01/1930 al 12/1932. Del n. 25 al n. 60,1930,1932
2444-6564,La Idea (Madrid. 1905),Madrid,Comunidad de Madrid,Del 19/6/1910 al 16/12/1912,1910,1912
2660-2075,El Ideal (Alcalá de Henares),Madrid,Comunidad de Madrid,21/2/1907,1907,1907
2173-4224,El Ideal del magisterio,Madrid,Comunidad de Madrid,Del n. 299 (1/1932) al n. 455 (6/1936),1932,1936
2341-4340,La Iglesia (Madrid),Madrid,Comunidad de Madrid,Del 10/1/1869 al 14/3/1869,1896,1869
2172-3672,La Igualdad (Madrid. 1868),Madrid,Comunidad de Madrid,Del 11/11/1868 al 3/11/1880,1868,1880
0214-5359,La Ilustración (Madrid),Madrid,Comunidad de Madrid,Del 03/03/1849 al 06/07/1857,1849,1857
2171-7400,La Ilustración burocrática,Madrid,Comunidad de Madrid,29/4/1887,1887,1887
1577-6174,Ilustración católica de España,Madrid,Comunidad de Madrid,Del 30/08/1897 al 12/1899. Del n. 1 al n. 24,1897,1899
1577-6166,La Ilustración católica (Madrid. 1877),Madrid,Comunidad de Madrid,Del 05/08/1877 al 31/12/1894. Del n. 1 al n. 54,1877,1894
1577-8401,La Ilustración de España,Madrid,Comunidad de Madrid,Del 8/6/1884 al 22/12/1887,1884,1887
2173-0369,La Ilustración de la infancia,Madrid,Comunidad de Madrid,Del n. 1 (8/1/1877) al n. 101 (12/1/1879),1877,1879
2171-3340,La Ilustración de la mujer (Madrid),Madrid,Comunidad de Madrid,Del 31/05/1875 al 30/12/1876,1875,1876
2173-4887,La Ilustracion del Rif,Madrid,Comunidad de Madrid,05/09/1925. N. 1,1925,1925
2174-9795,La Ilustración del pueblo,Madrid,Comunidad de Madrid,Del 10/01/1897 al 31/03/1897. Del n. 1 al n. 9,1897,1897
1889-8394,La Ilustración española y americana,Madrid,Comunidad de Madrid,Del 25/12/1869 al 30/12/1921,1896,1921
2253-6019,La Ilustración financiera,Madrid,Comunidad de Madrid,Del 04/1908 al 25/12/1935. Del n. 1 al  n. 1.277,1908,1935
2171-2867,La Ilustración militar (Madrid),Madrid,Comunidad de Madrid,Del 15/01/1907 al 30/12/1911,1907,1911
2254-1527,La Ilustración moderna (Madrid),Madrid,Comunidad de Madrid,Del 12/1936 al 02/1939,1936,1939
2171-3197,La Ilustración mundial,Madrid,Comunidad de Madrid,Del 02/1925 al 15/07/1926. Del n. 1 al n. 2,1925,1926
2171-0228,La Ilustración popular (Madrid. 1873),Madrid,Comunidad de Madrid,Del 16/03/1873 al 16/08/1873,1873,1873
2174-9787,La Ilustración popular (Madrid. 1897),Madrid,Comunidad de Madrid,Del 10/04/1897 al 10/09/1897. Del n. 1 al n. 16,1897,1897
1576-6764,La Ilustración republicana federal,Madrid,Comunidad de Madrid,Del 15/06/1871 al 16/09/1872,1871,1872
1699-6550,La Ilustración taurómaca,Madrid,Comunidad de Madrid,Del 20/6/1884 al 1/8/1884,1884,1884
2173-3333,El Ilustrador del pueblo,Madrid,Comunidad de Madrid,1841. N. 1,1841,1841
2340-5090,El Imparcial (Madrid. 1821),Madrid,Comunidad de Madrid,Del n. 1 (10/9/1821) al n. 296 (30/6/1822),1821,1822
2171-0244,El Imparcial (Madrid. 1867),Madrid,Comunidad de Madrid,Del 16/3/1867 al 30/05/1933,1867,1933
2487-2105,El Imparcial (Madrid. 1977),Madrid,Comunidad de Madrid,Del 11/12/1977 al 7/12/1979,1977,1979
1697-0721,El Imparcial o Gazeta política y literaria,Madrid,Comunidad de Madrid,02/06/1809,1809,1809
2171-0260,El Imparcial Revista hispano-americana,Madrid,Comunidad de Madrid,Del 13/06/1867 al 28/12/1867,1867,1867
2605-4248,Ímpetu (Madrid. 1937),Madrid,Comunidad de Madrid,1/1/1939,1939,1939
2172-5306,El Indicador de los espectáculos y del buen gusto,Madrid,Comunidad de Madrid,Del n. 13 (20/5/1822) al 241 (31/12/1822),1822,1822
1133-8555,Índice (Madrid. 1921),Madrid,Comunidad de Madrid,Del 1921 al 1922. Del n. 1 al n. 4,1921,1922
2173-0962,Industria (Madrid. 1906),Madrid,Comunidad de Madrid,Del n. 1 (14/5/1906) al n. 16 (28/12/1906),1906,1906
2171-3251,La Industria nacional (Madrid),Madrid,Comunidad de Madrid,Del 30/01/1908 al 30/06/1936,1908,1936
2172-6744,Información militar del extranjero,Madrid,Comunidad de Madrid,Del n. 1 (1/1909) al n. 6 (12/1915),1909,1915
2478-9682,Informe diario,Madrid,Comunidad de Madrid,Del 17/11/1971 al 9/10/1976,1971,1976
2174-9361,Ingar (Madrid),Madrid,Comunidad de Madrid,Del 11/1932 al 05/1935. Del n. 1 al n. 15,1932,1935
2173-0342,Ingeniería y construcción,Madrid,Comunidad de Madrid,Del 1/1923 al 8/1936,1923,1936
2171-2808,Instrucción para la mujer,Madrid,Comunidad de Madrid,Del 01/03/1882 al 16/02/1883,1882,1883
2387-0028,El Intransigente (Madrid),Madrid,Comunidad de Madrid,Del 5/4/1907 al 30/6/1907,1907,1907
2173-3279,El Inventor (Madrid),Madrid,Comunidad de Madrid,Del 04/1931 al 01/1934. Del n. 1 al n. 18,1931,1934
2172-072X,El Iris (Madrid. 1858),Madrid,Comunidad de Madrid,Del n. 1 (5/5/1858) al n. 11 (11/7/1858),1858,1858
2387-0001,La Izquierda dinástica,Madrid,Comunidad de Madrid,Del 2/7/1897 al 17/11/1899,1897,1899
2660-6577,J.A.P. (Madrid),Madrid,Comunidad de Madrid,Del 27/10/1934 al 16/11/1935. Del n. 1 al n. 41,1934,1935
2172-2528,El Jardín (Madrid),Madrid,Comunidad de Madrid,Del n. 1 (09/1866) al n. 27 (03/1867),1866,1867
2171-0325,El Jorobado (Madrid),Madrid,Comunidad de Madrid,Del 01/03/1836 al 16/08/1836,1836,1836
2172-3664,Joven guardia,Madrid,Comunidad de Madrid,Del 23/8/1936 al 8/10/1936,1936,1936
1699-7085,Juan Rana,Madrid,Comunidad de Madrid,Del 18/03/1897 al 17/03/1906,1897,1906
1886-8525,Junta General del Banco Nacional de San Carlos celebrada en ...,Madrid,Comunidad de Madrid,1791,1791,1791
2171-7265,La Justicia (Madrid. 1888),Madrid,Comunidad de Madrid,Del 1/4/1888 al 30/6/1897,1888,1897
2171-018X,Juventud (Madrid. 1901),Madrid,Comunidad de Madrid,Del 01/10/1901 al 8/3/1902,1901,1902
2444-6726,Juventud (Madrid. 1936),Madrid,Comunidad de Madrid,Del 27/6/1936 al 6/12/1936,1936,1936
2660-1907,Juventud radical (Madrid),Madrid,Comunidad de Madrid,22/2/1911,1911,1911
1885-3706,KChT (Madrid),Madrid,Comunidad de Madrid,Del 19/10/1924 al 08/04/1928,1924,1928
2171-2859,Kafé kon media--,Madrid,Comunidad de Madrid,Del 18/04/1915 al 06/08/1916,1915,1916
1579-1068,Kalendario manual y guía de forasteros en Madrid,Madrid,Comunidad de Madrid,Del 1744 al 1837,1744,1837
2172-9735,Kinos (Madrid),Madrid,Comunidad de Madrid,Del n. 13 (7/1928) al n. 23/24 (12/1931),1928,1931
1889-8920,El Laberinto (Madrid),Madrid,Comunidad de Madrid,Del 01/11/1843 al 20/10/1845,1843,1845
2173-2418,Labor (Madrid. 1933),Madrid,Comunidad de Madrid,Del n. 1 (15/7/1933) al n. 155 (18/7/1936),1933,1936
2171-0368,El Labriego (Madrid),Madrid,Comunidad de Madrid,1840. Del n. 1 al n. 15,1840,
2171-7567,El Látigo (Madrid. 1889),Madrid,Comunidad de Madrid,n. 17 (30/1/1890),1890,1890
2171-0376,El Látigo liberal contra el Zurriago indiscreto,Madrid,Comunidad de Madrid,1821. Del n. 1 al n. 30,1821,1821
2171-830X,Latomia (Madrid),Madrid,Comunidad de Madrid,De 1932 a 1934,1932,1934
2171-0384,La Lectura (Madrid),Madrid,Comunidad de Madrid,Del 01/1901 al 09/1920,1901,1920
2171-3189,La Lectura dominical,Madrid,Comunidad de Madrid,Del 07/01/1894 al 11/07/1936,1894,1936
2444-6173,Lecturas populares,Madrid,Comunidad de Madrid,Del n. 1 (1/7/1858) al n. 12 (15/12/1858),1858,1858
2171-3243,El Lenguaje (Madrid),Madrid,Comunidad de Madrid,Del 01/01/1912 al 01/08/1914. Del n. 1 al n. 32,1912,1914
2174-6648,El Liberal (Madrid. 1879),Madrid,Comunidad de Madrid,Del 15/07/1879 al 26/03/1939,1879,1939
2487-1311,La Libertad (Madrid),Madrid,Comunidad de Madrid,Del 13/12/1919 al 18/12/1919,1919,1919
2488-3689,La Libertad (Madrid. 1919),Madrid,Comunidad de Madrid,Del 21/12/1919 al 26/03/1939,1919,1939
2660-1796,El Libertario (Madrid),Madrid,Comunidad de Madrid,7/9/1909,1909,1909
2444-5681,La Librería (Madrid. 1882),Madrid,Comunidad de Madrid,Del 5/1882 al 2/1884,1882,1884
2172-7090,El Liceo (Madrid),Madrid,Comunidad de Madrid,Del  n. 1 (5/1/1879) al n. 34 (24/8/1879),1879,1879
1885-4591,La Lidia (Madrid. 1914),Madrid,Comunidad de Madrid,Del 28/04/1914 al 20/07/1931,1914,1931
1885-4583,La Lidia (Madrid. 1882),Madrid,Comunidad de Madrid,Del 02/04/1882 al 16/11/1927,1882,1927
2172-2501,Línea (Madrid. 1935),Madrid,Comunidad de Madrid,Del n. 1 (29/10/1935) al n. 5 (31/12/1935),1935,1935
2171-0198,La Linterna mágica,Madrid,Comunidad de Madrid,Del 1849 al 1850. Del n. 1 al n. 24,1849,1850
1131-3161,La Linterna médica,Madrid,Comunidad de Madrid,Del 08/01/1851 al 24/08/1851. Del n. 1 al n. 16,1851,1851
2172-3508,La Lira española (Madrid. 1872),Madrid,Comunidad de Madrid,Del n. 1 (31/10/1872) al n. 28 (25/12/1873),1872,1873
2172-539X,Lira española (Madrid. 1914),Madrid,Comunidad de Madrid,Del n. 11 (15/8/1914) al n. 27 (15/4/1915),1914,1915
2255-0852,Lista alfabética de los individuos de que se compone el Colegio de Agentes de Negocios de Madrid,Madrid,Comunidad de Madrid,Del 1850 al 1883,1850,1883
2660-9754,Lista de los abogados del Ilustre Colegio de Madrid,Madrid,Comunidad de Madrid,1867,1867,1867
2386-5199,Lista de los autores compositores y propietarios,Madrid,Comunidad de Madrid,1908 y 1910,1908,1910
2487-8995,La Lucha (Madrid. 1930),Madrid,Comunidad de Madrid,30/4/1930,1930,1930
2171-3111,Lumen (Madrid. 1910),Madrid,Comunidad de Madrid,Del 01/1910 al 12/1911. Del n. 1 al n. 24,1910,1911
2479-0745,La Luna de Madrid,Madrid,Comunidad de Madrid,De 1983 a 1988,1983,1988
1698-5567,La Luna de Metrópoli,Madrid,Comunidad de Madrid,6/1/2017-,2017,2023
2174-6354,La Luz (Madrid. 1888),Madrid,Comunidad de Madrid,Del 8/7/1888 al 31/3/1889,1888,1889
2487-1281,Luz (Madrid. 1932),Madrid,Comunidad de Madrid,Del 07/01/1932 al 07/09/1934,1932,1934
1576-6047,MH. Mujer de hoy,Madrid,Comunidad de Madrid,Del 2/3/2002 al 28/12/2002,2002,2002
2171-2689,La Madre y el niño (Madrid),Madrid,Comunidad de Madrid,Del 01/1883 al 12/1884. Del n. 1 al n. 18,1883,1884
2172-5608,Madrid (Madrid. 1901),Madrid,Comunidad de Madrid,n. 8 (26/6/1901),1901,1901
2171-0562,Madrid alegre,Madrid,Comunidad de Madrid,Del 12/10/1889 al 20/06/1890. Del n. 2 al n. 37,1889,1890
2171-326X,Madrid automóvil,Madrid,Comunidad de Madrid,Del 01/1925 al 12/1935. Del n. 1 al n. 132,1925,1935
2171-0678,Madrid científico,Madrid,Comunidad de Madrid,Del 1897 al 1936. Del n. 117 al n. 1409,1897,1936
1695-0216,Madrid cómico,Madrid,Comunidad de Madrid,Del 04/01/1880 al 29/12/1923,1880,1923
2253-6043,Madrid ilustrado,Madrid,Comunidad de Madrid,Del 11/1934 al 04/1936. Del n. 1 al n. 16,1934,1936
