Année,Origine sociale,Nombre de personnes admises,Proportion de personnes admises,Type de baccalauréat
2017,Professions intermédiaires,16726,84.82174552462092,baccalauréat professionnel
2018,Professions intermédiaires,16920,85.8839652809502,baccalauréat professionnel
2019,Professions intermédiaires,16902,85.35070443872141,baccalauréat professionnel
2020,Professions intermédiaires,19517,92.4844808794958,baccalauréat professionnel
2021,Professions intermédiaires,20373,89.69358105133398,baccalauréat professionnel
2022,Professions intermédiaires,19516,86.20902906617192,baccalauréat professionnel
2023,Professions intermédiaires,19578,86.78191489361703,baccalauréat professionnel
2024,Professions intermédiaires,20631,87.48621830209481,baccalauréat professionnel
1997,Retraités,3957,75.19954389965793,baccalauréat professionnel
1998,Retraités,3672,72.29769639692853,baccalauréat professionnel
1999,Retraités,3738,74.00514749554543,baccalauréat professionnel
2000,Retraités,3802,75.09381789452894,baccalauréat professionnel
2001,Retraités,3698,73.5042735042735,baccalauréat professionnel
2002,Retraités,3895,72.50558451228592,baccalauréat professionnel
2003,Retraités,3657,70.80348499515974,baccalauréat professionnel
2004,Retraités,3778,70.89510227059486,baccalauréat professionnel
2005,Retraités,3676,67.89804211304026,baccalauréat professionnel
2006,Retraités,3841,72.49905624764062,baccalauréat professionnel
2007,Retraités,3656,73.29591018444266,baccalauréat professionnel
2008,Retraités,3601,72.89473684210526,baccalauréat professionnel
2009,Retraités,4318,85.10051241623965,baccalauréat professionnel
2010,Retraités,4415,83.99923896499239,baccalauréat professionnel
2011,Retraités,5560,80.80220898125272,baccalauréat professionnel
2012,Retraités,5957,75.10085728693898,baccalauréat professionnel
2013,Retraités,4771,76.10464188865848,baccalauréat professionnel
2014,Retraités,5017,78.89605283849662,baccalauréat professionnel
2015,Retraités,4622,76.90515806988353,baccalauréat professionnel
2016,Retraités,4758,79.10224438902743,baccalauréat professionnel
2017,Retraités,3758,77.50051557022067,baccalauréat professionnel
2018,Retraités,3667,80.50493962678375,baccalauréat professionnel
2019,Retraités,4008,79.39778129952457,baccalauréat professionnel
2020,Retraités,3092,87.9908935685828,baccalauréat professionnel
2021,Retraités,2536,84.30851063829788,baccalauréat professionnel
2022,Retraités,2209,80.29807342784441,baccalauréat professionnel
2023,Retraités,2037,81.5126050420168,baccalauréat professionnel
2024,Retraités,1899,81.01535836177474,baccalauréat professionnel
1997,Agriculteurs exploitants,15724,80.90142004527681,baccalauréat
1998,Agriculteurs exploitants,17904,82.9004028337269,baccalauréat
1999,Agriculteurs exploitants,17899,82.90028252512622,baccalauréat
2000,Agriculteurs exploitants,18140,85.00070287240523,baccalauréat
2001,Agriculteurs exploitants,17103,84.50098814229248,baccalauréat
2002,Agriculteurs exploitants,16528,84.00081317340923,baccalauréat
2003,Agriculteurs exploitants,16367,85.70007330610535,baccalauréat
2004,Agriculteurs exploitants,15962,86.0021551724138,baccalauréat
2005,Agriculteurs exploitants,16022,86.00107353730542,baccalauréat
2006,Agriculteurs exploitants,15743,87.60224806632908,baccalauréat
2007,Agriculteurs exploitants,11679,89.09826060421116,baccalauréat
2008,Agriculteurs exploitants,11195,89.89801654219866,baccalauréat
2009,Agriculteurs exploitants,11255,91.80261011419249,baccalauréat
2010,Agriculteurs exploitants,10899,91.1973893398042,baccalauréat
2011,Agriculteurs exploitants,10798,91.0992997553362,baccalauréat
2012,Agriculteurs exploitants,11286,90.79646017699115,baccalauréat
2013,Agriculteurs exploitants,10619,92.89650949173301,baccalauréat
2014,Agriculteurs exploitants,10736,93.60069747166521,baccalauréat
2015,Agriculteurs exploitants,10483,93.09946714031972,baccalauréat
2016,Agriculteurs exploitants,10151,93.99944439299935,baccalauréat
2017,Agriculteurs exploitants,9539,93.09974624243607,baccalauréat
2018,Agriculteurs exploitants,9862,93.89698181471961,baccalauréat
2019,Agriculteurs exploitants,8476,93.59540636042402,baccalauréat
2020,Agriculteurs exploitants,7071,97.50413678985107,baccalauréat
2021,Agriculteurs exploitants,7615,97.60317867213536,baccalauréat
2022,Agriculteurs exploitants,7248,96.2038757632068,baccalauréat
2023,Agriculteurs exploitants,6922,96.20569840166783,baccalauréat
2024,Agriculteurs exploitants,6402,96.70694864048339,baccalauréat
1997,"Artisans, commerçants, chefs d'entreprise",48112,77.00014403917865,baccalauréat
1998,"Artisans, commerçants, chefs d'entreprise",48899,78.8998967342197,baccalauréat
1999,"Artisans, commerçants, chefs d'entreprise",48323,78.69939089931924,baccalauréat
2000,"Artisans, commerçants, chefs d'entreprise",48755,79.9996718298766,baccalauréat
2001,"Artisans, commerçants, chefs d'entreprise",46481,78.9996090895185,baccalauréat
2002,"Artisans, commerçants, chefs d'entreprise",44868,79.10018863600303,baccalauréat
2003,"Artisans, commerçants, chefs d'entreprise",44977,81.09955101967219,baccalauréat
2004,"Artisans, commerçants, chefs d'entreprise",43943,80.79985290061597,baccalauréat
2005,"Artisans, commerçants, chefs d'entreprise",44541,81.10012563500301,baccalauréat
2006,"Artisans, commerçants, chefs d'entreprise",47430,83.29967157835578,baccalauréat
2007,"Artisans, commerçants, chefs d'entreprise",46166,84.9999079410086,baccalauréat
2008,"Artisans, commerçants, chefs d'entreprise",46848,85.0004535970244,baccalauréat
2009,"Artisans, commerçants, chefs d'entreprise",48810,87.399502211399,baccalauréat
2010,"Artisans, commerçants, chefs d'entreprise",49005,86.70075368882912,baccalauréat
2011,"Artisans, commerçants, chefs d'entreprise",53189,86.9996892225657,baccalauréat
2012,"Artisans, commerçants, chefs d'entreprise",56792,86.09936174406089,baccalauréat
2013,"Artisans, commerçants, chefs d'entreprise",55565,88.29932621408594,baccalauréat
2014,"Artisans, commerçants, chefs d'entreprise",59331,89.30012040939194,baccalauréat
2015,"Artisans, commerçants, chefs d'entreprise",58549,89.09940345751157,baccalauréat
2016,"Artisans, commerçants, chefs d'entreprise",59265,90.0,baccalauréat
2017,"Artisans, commerçants, chefs d'entreprise",58839,89.20000606400558,baccalauréat
2018,"Artisans, commerçants, chefs d'entreprise",62303,89.40020088965419,baccalauréat
2019,"Artisans, commerçants, chefs d'entreprise",59283,89.10047343503419,baccalauréat
2020,"Artisans, commerçants, chefs d'entreprise",53677,95.99921307722573,baccalauréat
2021,"Artisans, commerçants, chefs d'entreprise",54264,95.39916668131714,baccalauréat
2022,"Artisans, commerçants, chefs d'entreprise",50927,93.00036523009496,baccalauréat
2023,"Artisans, commerçants, chefs d'entreprise",50248,92.79923172105565,baccalauréat
2024,"Artisans, commerçants, chefs d'entreprise",50109,92.99938753920677,baccalauréat
1997,Autres personnes sans activité professionnelle,23406,69.89995520382261,baccalauréat
1998,Autres personnes sans activité professionnelle,24670,71.00097852990272,baccalauréat
1999,Autres personnes sans activité professionnelle,24652,70.29971197992414,baccalauréat
2000,Autres personnes sans activité professionnelle,25350,71.80082705489151,baccalauréat
2001,Autres personnes sans activité professionnelle,24340,69.9003474914563,baccalauréat
2002,Autres personnes sans activité professionnelle,25564,69.90047030515149,baccalauréat
2003,Autres personnes sans activité professionnelle,28607,72.30014911416079,baccalauréat
2004,Autres personnes sans activité professionnelle,30727,70.30063146334767,baccalauréat
2005,Autres personnes sans activité professionnelle,33205,70.89934662851775,baccalauréat
2006,Autres personnes sans activité professionnelle,37204,73.79988891533762,baccalauréat
2007,Autres personnes sans activité professionnelle,38179,74.90043748651247,baccalauréat
2008,Autres personnes sans activité professionnelle,38658,75.1005342399223,baccalauréat
2009,Autres personnes sans activité professionnelle,39373,78.39947432349017,baccalauréat
2010,Autres personnes sans activité professionnelle,38208,77.49944220198373,baccalauréat
2011,Autres personnes sans activité professionnelle,42876,77.79935040191613,baccalauréat
2012,Autres personnes sans activité professionnelle,44966,75.89966916480994,baccalauréat
2013,Autres personnes sans activité professionnelle,44704,79.59972222716831,baccalauréat
2014,Autres personnes sans activité professionnelle,48088,81.19955421971565,baccalauréat
2015,Autres personnes sans activité professionnelle,49780,80.99972338382935,baccalauréat
2016,Autres personnes sans activité professionnelle,52008,81.6003765591904,baccalauréat
2017,Autres personnes sans activité professionnelle,55392,80.5994907238996,baccalauréat
2018,Autres personnes sans activité professionnelle,59374,81.1996553657636,baccalauréat
2019,Autres personnes sans activité professionnelle,65039,81.29976624707808,baccalauréat
2020,Autres personnes sans activité professionnelle,95437,91.79988842076912,baccalauréat
2021,Autres personnes sans activité professionnelle,59072,85.69977803246819,baccalauréat
2022,Autres personnes sans activité professionnelle,60645,81.69987471203977,baccalauréat
2023,Autres personnes sans activité professionnelle,63127,80.89989875818586,baccalauréat
2024,Autres personnes sans activité professionnelle,64691,82.00048167725089,baccalauréat
1997,"Cadres, professions intellectuelles supérieures",140163,82.75257415454374,baccalauréat
1998,"Cadres, professions intellectuelles supérieures",144531,84.29872091734664,baccalauréat
1999,"Cadres, professions intellectuelles supérieures",143186,83.43102865599981,baccalauréat
2000,"Cadres, professions intellectuelles supérieures",143572,84.50830238211559,baccalauréat
2001,"Cadres, professions intellectuelles supérieures",137418,83.93169075162162,baccalauréat
2002,"Cadres, professions intellectuelles supérieures",134842,84.66677550200299,baccalauréat
2003,"Cadres, professions intellectuelles supérieures",136974,86.7346744932657,baccalauréat
2004,"Cadres, professions intellectuelles supérieures",133885,86.84526319203451,baccalauréat
2005,"Cadres, professions intellectuelles supérieures",138350,87.40342032611237,baccalauréat
2006,"Cadres, professions intellectuelles supérieures",143879,89.37527565022394,baccalauréat
2007,"Cadres, professions intellectuelles supérieures",142414,90.57455766564483,baccalauréat
2008,"Cadres, professions intellectuelles supérieures",141361,90.74865829545746,baccalauréat
2009,"Cadres, professions intellectuelles supérieures",145405,91.94642755515648,baccalauréat
2010,"Cadres, professions intellectuelles supérieures",143482,91.25612160529161,baccalauréat
2011,"Cadres, professions intellectuelles supérieures",147746,91.6788701630718,baccalauréat
2012,"Cadres, professions intellectuelles supérieures",153069,92.24358201759672,baccalauréat
2013,"Cadres, professions intellectuelles supérieures",153738,93.91447770311545,baccalauréat
2014,"Cadres, professions intellectuelles supérieures",158076,94.10518044029575,baccalauréat
2015,"Cadres, professions intellectuelles supérieures",161825,94.31735392685414,baccalauréat
2016,"Cadres, professions intellectuelles supérieures",165289,94.40931704335807,baccalauréat
2017,"Cadres, professions intellectuelles supérieures",170653,93.92588434082415,baccalauréat
2018,"Cadres, professions intellectuelles supérieures",178683,94.22519168503538,baccalauréat
2019,"Cadres, professions intellectuelles supérieures",173852,94.4119212346993,baccalauréat
2020,"Cadres, professions intellectuelles supérieures",173445,98.25353484999548,baccalauréat
2021,"Cadres, professions intellectuelles supérieures",178589,98.05255413537137,baccalauréat
2022,"Cadres, professions intellectuelles supérieures",176872,96.88908852868514,baccalauréat
2023,"Cadres, professions intellectuelles supérieures",181265,96.91553407401862,baccalauréat
2024,"Cadres, professions intellectuelles supérieures",187632,97.13963252690816,baccalauréat
1997,Employés,72616,76.49989991888162,baccalauréat
1998,Employés,77222,78.20028557251213,baccalauréat
1999,Employés,78839,77.69991918475154,baccalauréat
2000,Employés,83041,78.79998481714145,baccalauréat
2001,Employés,80892,78.20034415421202,baccalauréat
2002,Employés,80650,77.80017942756818,baccalauréat
2003,Employés,82872,79.09973369985397,baccalauréat
2004,Employés,82266,78.6000917220821,baccalauréat
2005,Employés,81967,79.19976037258199,baccalauréat
2006,Employés,82936,81.00009766578768,baccalauréat
2007,Employés,78586,83.20028797086412,baccalauréat
2008,Employés,77535,82.99970026547915,baccalauréat
2009,Employés,81007,85.10032566446056,baccalauréat
2010,Employés,80415,84.4003862381662,baccalauréat
2011,Employés,86410,84.99985244788951,baccalauréat
2012,Employés,90183,84.79990220784595,baccalauréat
2013,Employés,91626,87.59990821828751,baccalauréat
2014,Employés,96634,88.89972401103955,baccalauréat
2015,Employés,96857,88.39979190814752,baccalauréat
2016,Employés,101739,89.10014450234269,baccalauréat
2017,Employés,113834,88.09999226066094,baccalauréat
2018,Employés,118890,88.0001776435582,baccalauréat
2019,Employés,123767,87.70026572187777,baccalauréat
2020,Employés,150582,95.09981621942516,baccalauréat
2021,Employés,142639,93.90013495276654,baccalauréat
2022,Employés,138344,90.8997726585805,baccalauréat
2023,Employés,141699,90.70013057838544,baccalauréat
2024,Employés,146115,90.99996263218863,baccalauréat
1997,Ensemble,510530,77.6057192282143,baccalauréat
1998,Ensemble,530722,79.16781030347148,baccalauréat
1999,Ensemble,532026,78.61624439591097,baccalauréat
2000,Ensemble,544564,79.83744104525643,baccalauréat
2001,Ensemble,525585,78.93942397808377,baccalauréat
2002,Ensemble,518772,78.87357349412977,baccalauréat
2003,Ensemble,527992,80.43802826342635,baccalauréat
2004,Ensemble,522429,80.06537900975168,baccalauréat
2005,Ensemble,530787,80.25665218140746,baccalauréat
2006,Ensemble,548489,82.38415669074905,baccalauréat
2007,Ensemble,547718,83.73279765672056,baccalauréat
2008,Ensemble,541792,83.80814488597252,baccalauréat
2009,Ensemble,562146,86.40211737799255,baccalauréat
2010,Ensemble,554150,85.82929858962088,baccalauréat
2011,Ensemble,591977,85.8820149980197,baccalauréat
2012,Ensemble,632967,84.77789177330308,baccalauréat
2013,Ensemble,613300,87.17442845527994,baccalauréat
2014,Ensemble,650241,88.25670739900728,baccalauréat
2015,Ensemble,644244,88.15526966116863,baccalauréat
2016,Ensemble,659876,88.81656605627452,baccalauréat
2017,Ensemble,671842,88.1067286356507,baccalauréat
2018,Ensemble,706300,88.47772711329358,baccalauréat
2019,Ensemble,697650,88.32231282544048,baccalauréat
2020,Ensemble,756623,95.16588118839279,baccalauréat
2021,Ensemble,721408,93.90142152211293,baccalauréat
2022,Ensemble,699329,91.23070902093797,baccalauréat
2023,Ensemble,708917,91.0184215121355,baccalauréat
2024,Ensemble,722435,91.51291746628918,baccalauréat
1997,Indéterminé,14582,67.40004622140052,baccalauréat
1998,Indéterminé,15148,69.20054819552307,baccalauréat
1999,Indéterminé,16202,68.60022017105598,baccalauréat
2000,Indéterminé,17395,70.098730606488,baccalauréat
2001,Indéterminé,17926,69.19899633275429,baccalauréat
2002,Indéterminé,18492,69.0,baccalauréat
2003,Indéterminé,19812,70.69906862220319,baccalauréat
2004,Indéterminé,21257,70.39907269415467,baccalauréat
2005,Indéterminé,22754,68.89931869795609,baccalauréat
2006,Indéterminé,24986,72.9007410865379,baccalauréat
2007,Indéterminé,42692,75.79986506161003,baccalauréat
2008,Indéterminé,43590,76.0003487054311,baccalauréat
2009,Indéterminé,48415,81.99955964297207,baccalauréat
2010,Indéterminé,47353,81.59948992779721,baccalauréat
2011,Indéterminé,53357,81.70055735897593,baccalauréat
2012,Indéterminé,68596,78.39990856620378,baccalauréat
2013,Indéterminé,60437,78.90050783952793,baccalauréat
2014,Indéterminé,71909,81.2999581679838,baccalauréat
2015,Indéterminé,66566,81.40041087849735,baccalauréat
2016,Indéterminé,66034,82.69962929566175,baccalauréat
2017,Indéterminé,58874,82.1001255055083,baccalauréat
2018,Indéterminé,63343,83.69957319732026,baccalauréat
2019,Indéterminé,60147,82.09961643985204,baccalauréat
2020,Indéterminé,68343,92.10026278552658,baccalauréat
2021,Indéterminé,63550,89.80047479086593,baccalauréat
2022,Indéterminé,59943,85.19955654101996,baccalauréat
2023,Indéterminé,61215,85.19951565087892,baccalauréat
2024,Indéterminé,61993,86.4001895443966,baccalauréat
1997,Ouvriers,87529,74.80024269977866,baccalauréat
1998,Ouvriers,90031,75.99989870169337,baccalauréat
1999,Ouvriers,90629,75.70016956089574,baccalauréat
2000,Ouvriers,93407,76.8997085604202,baccalauréat
2001,Ouvriers,91472,75.80029003521857,baccalauréat
2002,Ouvriers,90274,75.39986803310866,baccalauréat
2003,Ouvriers,90844,76.19990269925682,baccalauréat
2004,Ouvriers,90271,76.39984427367209,baccalauréat
2005,Ouvriers,88348,75.89969158340564,baccalauréat
2006,Ouvriers,92147,78.0999440611598,baccalauréat
2007,Ouvriers,88673,79.80003419757197,baccalauréat
2008,Ouvriers,85781,79.6998977980117,baccalauréat
2009,Ouvriers,89165,83.29985706411561,baccalauréat
2010,Ouvriers,88015,83.00013202316063,baccalauréat
2011,Ouvriers,97950,82.59967617891115,baccalauréat
2012,Ouvriers,105590,80.49981702854355,baccalauréat
2013,Ouvriers,97656,83.2,baccalauréat
2014,Ouvriers,104622,85.19984364311541,baccalauréat
2015,Ouvriers,100668,84.39991616013414,baccalauréat
2016,Ouvriers,104249,85.60015108468954,baccalauréat
2017,Ouvriers,101606,84.40017942285648,baccalauréat
2018,Ouvriers,107427,84.79985475557099,baccalauréat
2019,Ouvriers,98031,85.40029619304818,baccalauréat
2020,Ouvriers,90840,93.1998194279148,baccalauréat
2021,Ouvriers,96270,91.69968757143945,baccalauréat
2022,Ouvriers,87305,88.30014260718295,baccalauréat
2023,Ouvriers,83496,87.60006294916855,baccalauréat
2024,Ouvriers,80884,87.99965184846704,baccalauréat
1997,Professions intermédiaires,93972,78.64555436529191,baccalauréat
1998,Professions intermédiaires,97694,80.31602226296275,baccalauréat
1999,Professions intermédiaires,97639,79.77629074033221,baccalauréat
2000,Professions intermédiaires,100412,81.25789013692422,baccalauréat
2001,Professions intermédiaires,96326,80.47486570256565,baccalauréat
2002,Professions intermédiaires,94744,80.4257956079217,baccalauréat
2003,Professions intermédiaires,95297,82.36132957668573,baccalauréat
2004,Professions intermédiaires,92028,81.92500801196454,baccalauréat
2005,Professions intermédiaires,93358,82.55194977451588,baccalauréat
2006,Professions intermédiaires,91424,84.57667258732978,baccalauréat
2007,Professions intermédiaires,86767,86.31986310909488,baccalauréat
2008,Professions intermédiaires,84360,86.56391733535823,baccalauréat
2009,Professions intermédiaires,85389,88.1271092855005,baccalauréat
2010,Professions intermédiaires,83509,87.6753317654964,baccalauréat
2011,Professions intermédiaires,85502,87.93968815567531,baccalauréat
2012,Professions intermédiaires,88072,87.9796213975326,baccalauréat
2013,Professions intermédiaires,86023,90.32613717501785,baccalauréat
2014,Professions intermédiaires,88034,91.10044083862823,baccalauréat
2015,Professions intermédiaires,87514,91.19461464715936,baccalauréat
2016,Professions intermédiaires,89081,91.3679395263444,baccalauréat
2017,Professions intermédiaires,92160,90.58206050598572,baccalauréat
2018,Professions intermédiaires,95527,90.81462890606433,baccalauréat
2019,Professions intermédiaires,97481,90.63278664137752,baccalauréat
2020,Professions intermédiaires,107896,96.84936179379926,baccalauréat
2021,Professions intermédiaires,109973,95.94405960461343,baccalauréat
2022,Professions intermédiaires,109729,94.02736955757976,baccalauréat
2023,Professions intermédiaires,112958,94.05407205721946,baccalauréat
2024,Professions intermédiaires,117017,94.26667955596372,baccalauréat
1997,Retraités,14426,72.10115953618552,baccalauréat
1998,Retraités,14623,73.60076504932555,baccalauréat
1999,Retraités,14657,73.80161127895266,baccalauréat
2000,Retraités,14492,74.80128006606793,baccalauréat
2001,Retraités,13627,73.79907933929054,baccalauréat
2002,Retraités,12810,73.2,baccalauréat
2003,Retraités,12242,73.60067336018759,baccalauréat
2004,Retraités,12090,73.99926551597503,baccalauréat
2005,Retraités,12242,73.40208658112483,baccalauréat
2006,Retraités,12740,76.20072970871463,baccalauréat
2007,Retraités,12562,78.09760646565122,baccalauréat
2008,Retraités,12464,78.90105716275242,baccalauréat
2009,Retraités,13327,83.39799749687108,baccalauréat
2010,Retraités,13264,82.69842259492486,baccalauréat
2011,Retraités,14149,81.99942045783831,baccalauréat
2012,Retraités,14413,80.39828192112456,baccalauréat
2013,Retraités,12932,83.39997420353411,baccalauréat
2014,Retraités,12811,84.99867303609342,baccalauréat
2015,Retraités,12002,84.40225035161744,baccalauréat
2016,Retraités,12060,85.00140964195094,baccalauréat
2017,Retraités,10945,85.10224710364669,baccalauréat
2018,Retraités,10891,85.89794147803454,baccalauréat
2019,Retraités,11574,86.19944887167647,baccalauréat
2020,Retraités,9332,93.49764552650035,baccalauréat
2021,Retraités,9436,92.20246238030096,baccalauréat
2022,Retraités,8316,88.90314304041053,baccalauréat
2023,Retraités,7987,89.00156006240249,baccalauréat
2024,Retraités,7592,89.09752376481633,baccalauréat
