Année,Origine sociale,Nombre de personnes admises,Proportion de personnes admises,Type de baccalauréat
2023,Ouvriers,35609,93.40065573770492,baccalaureat général
2024,Ouvriers,33534,93.69918131269384,baccalaureat général
1997,Professions intermédiaires,59031,77.9781247523183,baccalaureat général
1998,Professions intermédiaires,60141,80.26505445227419,baccalaureat général
1999,Professions intermédiaires,57835,79.3314404071163,baccalaureat général
2000,Professions intermédiaires,59527,81.21452739576512,baccalaureat général
2001,Professions intermédiaires,56546,80.74078304823371,baccalaureat général
2002,Professions intermédiaires,55881,81.4912574920158,baccalaureat général
2003,Professions intermédiaires,56979,85.01663657659539,baccalaureat général
2004,Professions intermédiaires,54209,83.94214837640719,baccalaureat général
2005,Professions intermédiaires,55746,85.67871634083365,baccalaureat général
2006,Professions intermédiaires,56028,87.83607945192594,baccalaureat général
2007,Professions intermédiaires,54209,89.06139615883812,baccalaureat général
2008,Professions intermédiaires,52717,89.46305535756711,baccalaureat général
2009,Professions intermédiaires,53017,90.34165459657494,baccalaureat général
2010,Professions intermédiaires,51478,88.85321734327533,baccalaureat général
2011,Professions intermédiaires,50809,89.68457098476692,baccalaureat général
2012,Professions intermédiaires,51884,91.15089334340577,baccalaureat général
2013,Professions intermédiaires,52941,93.17809810444058,baccalaureat général
2014,Professions intermédiaires,52218,92.36238856657705,baccalaureat général
2015,Professions intermédiaires,53148,92.89821887399276,baccalaureat général
2016,Professions intermédiaires,54773,92.57356296584244,baccalaureat général
2017,Professions intermédiaires,56146,91.74033104034248,baccalaureat général
2018,Professions intermédiaires,58573,92.4447601010101,baccalaureat général
2019,Professions intermédiaires,59758,92.4559829192066,baccalaureat général
2020,Professions intermédiaires,66608,98.37247083148722,baccalaureat général
2021,Professions intermédiaires,67968,98.16007625429653,baccalaureat général
2022,Professions intermédiaires,68446,96.98747378563736,baccalaureat général
2023,Professions intermédiaires,70996,96.81316733257879,baccalaureat général
2024,Professions intermédiaires,72782,97.03361019638167,baccalaureat général
1997,Retraités,5650,69.79617047560222,baccalaureat général
1998,Retraités,5972,72.99841095220633,baccalaureat général
1999,Retraités,5954,73.497099123565,baccalaureat général
2000,Retraités,5841,75.0,baccalaureat général
2001,Retraités,5341,73.90341773903418,baccalaureat général
2002,Retraités,4925,75.09911558401951,baccalaureat général
2003,Retraités,4832,79.69651987464951,baccalaureat général
2004,Retraités,4500,78.30172263789804,baccalaureat général
2005,Retraités,5016,80.6949806949807,baccalaureat général
2006,Retraités,5104,82.29603353756853,baccalaureat général
